 	siete	cucinato	</S>
a20	0.6347969	0.1478398685	0.217363219
a31	0.851676743333	0.0626548451667	0.0856683913333
a18	0.923705191111	0.0311218733889	0.0451729347778
a21	0.95411075037	0.017614388463	0.0282748735926
a37	0.97611543679	0.0112241321543	0.0126604568642
a21	0.958277562263	0.0193545557181	0.0223679256214
a31	0.800496204088	0.103362919906	0.0961408995405
a18	0.551794068029	0.251171279969	0.19703467318
a31	0.381858089343	0.361209053323	0.256932884393
</S>	0.328008344671	0.396509106662	0.275482582197
