 	la	casa	la	costruiscono	i	muratori	</S>
a31	0.13957458	0.0800997945	0.121005945	0.10686920905	0.137033885	0.21314016	0.20227646
a18	0.188016366667	0.0845003778333	0.127524505	0.03626940281	0.102156403333	0.269105106667	0.192427845333
a31	0.201059895556	0.132561655944	0.211494725	0.01222029885	0.0523347954443	0.242047232222	0.148281427111
a20	0.160698548519	0.130642446648	0.299971821667	0.00427983030333	0.0363803154814	0.204247854074	0.16377921237
a31	0.237144179506	0.116254316883	0.259700153889	0.00165635404111	0.0282716201605	0.201101438025	0.15587192079
a37	0.253164061502	0.100326622294	0.321466971296	0.00092174924037	0.0226791450535	0.154733392675	0.14670807693
a18	0.216373782167	0.076846474098	0.440862943765	0.000904578433457	0.0207042350178	0.101745317558	0.142562738977
a46	0.190785414056	0.0787129060327	0.478030034588	0.000922684611152	0.0171103850059	0.0857980038527	0.148640592992
a31	0.138855744685	0.121461690011	0.403880888196	0.00154484090372	0.019124597002	0.0855777159509	0.229554517664
a46	0.135898071562	0.142438340004	0.229470989399	0.00329221240124	0.0201640660007	0.0922348119836	0.376501489221
a31	0.211761257187	0.198356020001	0.1413939998	0.00549922480041	0.0115362351669	0.0729096863279	0.358543496407
a46	0.263762445729	0.21342016	0.1257804366	0.00971131460014	0.0118245752223	0.0652230594426	0.310277922136
a31	0.28970865191	0.209837293333	0.1255662722	0.0205043268667	0.0164214250741	0.0652706371475	0.272691374045
a46	0.296066780637	0.232302341111	0.1471005474	0.0341597156222	0.024633344358	0.0596311513825	0.206106134682
a31	0.287684570212	0.220071667037	0.167775629133	0.0496192618741	0.0328835904527	0.0614928244608	0.180472478227
a18	0.364952496737	0.231773262346	0.135619291044	0.0569462116247	0.0274412711509	0.0487117038203	0.134555766076
a31	0.337043332246	0.239798434115	0.153163368348	0.0792982715416	0.024713255717	0.0451281796068	0.120855158692
a37	0.293599510749	0.254072181372	0.178540256116	0.102752857181	0.0279990239057	0.0471774072023	0.0958587428973
a13	0.284561343583	0.230576780457	0.196638715372	0.115660525727	0.0329919146352	0.0498195087341	0.0897511676324
a31	0.219499571194	0.205179610152	0.253615265124	0.144662695242	0.0405142005451	0.0520300699114	0.0844985992108
a20	0.228825573731	0.186713190051	0.244008708375	0.154658748414	0.041284413515	0.0620441433038	0.0824652330703
a31	0.219321601244	0.16869839335	0.250417582792	0.172366152805	0.0446006788383	0.0668315277679	0.0777640210234
a20	0.144249912415	0.16695232445	0.290199094264	0.200415327602	0.0560999939461	0.066795937256	0.0752873886745
a31	0.107619296138	0.161571074817	0.317996158088	0.205651792534	0.061888917982	0.0683679824187	0.0769047645582
a20	0.0877461237127	0.154644614939	0.336464599363	0.205618430845	0.0666651693273	0.0698964461396	0.0789645831861
</S>	0.0882342543564	0.156428707469	0.321630529681	0.205652305423	0.0725926496637	0.0748422710698	0.0806192640931
