 	venne	scritto	</S>
a29	0.532425865	0.14984987	0.317724315
a24	0.728968188333	0.11124918	0.159782690667
a37	0.736755246111	0.141388733333	0.121856059222
a29	0.661274508704	0.172963691111	0.165761813074
a13	0.673972479568	0.13827696037	0.187750564358
a11	0.756561259856	0.0904613034567	0.152977442786
a31	0.786737073285	0.0903985178189	0.122864427262
a39	0.779594277762	0.105862849273	0.114542880754
a18	0.731571459254	0.122570469758	0.145858063585
a8	0.559174506418	0.206313803253	0.234511684528
</S>	0.446398583209	0.267479561626	0.286121852264
