 	lo	sentii	ee	che	arrivava	</S>
a15	0.0891529165	0.0851098965	0.15755468	0.316361915	0.17142569	0.180394865
a31	0.118668148833	0.158722988833	0.141768313333	0.255516181667	0.18000436	0.145319981667
a46	0.104113527611	0.222137302944	0.114961754444	0.244365267222	0.20182576	0.112596383889
a8	0.0696850308703	0.166493800981	0.141032438148	0.229481835741	0.206235476667	0.18707141463
a31	0.0328055214234	0.0730271236603	0.148746490716	0.232763645247	0.191556145556	0.321101054877
a23	0.0140644858745	0.0317691305534	0.111808924905	0.213863648416	0.232492201852	0.396001584959
a8	0.00812722022483	0.0158615685178	0.0938308849683	0.247172982805	0.245250130617	0.389757204986
a38	0.00548981630828	0.0089301711726	0.0927296736561	0.299683510935	0.212283650206	0.380883171662
a20	0.00400076786943	0.00509579689087	0.106116659885	0.380839050312	0.189346523402	0.314601183887
a28	0.00474966665648	0.00383096159696	0.126150629962	0.503950640104	0.159907131134	0.201410971296
a20	0.00530135295216	0.00307985603232	0.115052645321	0.552959400035	0.151946200378	0.171660560432
a23	0.00561539201739	0.00282344847744	0.0903316004403	0.581485236678	0.149242016793	0.170502313477
a31	0.00698294263913	0.00400297372581	0.0915536384801	0.506550828893	0.153759808931	0.237149804492
a29	0.0109210083797	0.00603778777527	0.09025415116	0.460045642964	0.151623529644	0.281117868164
a33	0.0385638661266	0.0142641226584	0.0718810670533	0.537028114321	0.129950793215	0.208312046055
a29	0.0778037520422	0.0251040802195	0.0600569506844	0.532829978107	0.117053587738	0.187151695352
a27	0.0734084220141	0.0237135940732	0.0745870818948	0.541825216036	0.096463907246	0.190001828451
a46	0.064320495338	0.0231931786911	0.106114737298	0.494111848679	0.0994780837487	0.212781709484
a20	0.0949230751127	0.0304366255637	0.112080645766	0.437947196226	0.11430856125	0.210303939828
a31	0.129214958371	0.0360817651879	0.109577455255	0.468913378742	0.106629589083	0.149582886609
a7	0.185754339457	0.0491431637293	0.136015388418	0.382974559581	0.109268887028	0.136843675536
a1	0.247176339819	0.0645082299098	0.171862186139	0.271219043194	0.114593951009	0.130640248512
a20	0.271394773273	0.0719751419699	0.19226224538	0.231649861065	0.116059855003	0.116658132837
a31	0.261322551091	0.0772681973233	0.203217741793	0.220085940355	0.125988553001	0.112117020946
a20	0.24938636703	0.0862303224411	0.210075613931	0.218517683452	0.127940774334	0.107849223649
a31	0.247368745677	0.0912348074804	0.213439077977	0.216102287817	0.126664174778	0.105190897883
a23	0.227092445226	0.100662875827	0.211215269326	0.215206259272	0.131465308259	0.114357862628
</S>	0.212987257613	0.111192542914	0.207871649663	0.213858004636	0.130515254129	0.123575316314
