 	avete	cucinato	le	verdure	</S>
a29	0.149214425	0.0770737375	0.171622275	0.32303264	0.27905689
a38	0.319998825	0.0364799751667	0.145952588333	0.30421778	0.193350824667
a31	0.484337941667	0.0284593647222	0.128641006111	0.24355992	0.115001752889
a11	0.343364965556	0.0286055255741	0.107852248704	0.39050249	0.12967475763
a37	0.210488503519	0.0326594681914	0.093571024568	0.495988323333	0.16729269921
a11	0.219520491173	0.0569306003971	0.0827468231893	0.427963767778	0.21283833307
a31	0.246794757058	0.0854096634657	0.0800409010631	0.357182342593	0.230572344357
a20	0.241534312353	0.142361534489	0.104527150354	0.286305354198	0.225271661452
a31	0.233817664118	0.22025448483	0.128407830118	0.214626024733	0.202894013817
a39	0.254043501373	0.228462554943	0.132317143373	0.183844461578	0.201332344606
a13	0.208420143791	0.196484934981	0.175396474458	0.196340203859	0.223358248202
a18	0.154722144597	0.168464098327	0.248031708153	0.21280556462	0.215976516067
a39	0.185141014866	0.145032596109	0.284680489384	0.194501524873	0.190644415356
a31	0.248900404955	0.147091102036	0.266244136461	0.170718964958	0.167045405119
a46	0.247562678318	0.159987947345	0.253378735487	0.170768488319	0.16830213504
</S>	0.216613754159	0.166451573672	0.261793857744	0.178082544159	0.17705824252
