 	sul	muro	vuole	uno	specchio	</S>
a31	0.129515605	0.097404756	0.104456675	0.19498374	0.301414325	0.17222484
a39	0.264290905	0.138790142667	0.0788628183333	0.130068232333	0.259410258333	0.128577631333
a35	0.475208468333	0.219565194222	0.0744809327778	0.060989747111	0.108672338111	0.0610833294443
a31	0.587170722778	0.205266611407	0.0820914875926	0.0326346577037	0.0524034202037	0.0404331018148
a2	0.476780587593	0.148084200469	0.184844289198	0.0327600719012	0.106896728901	0.0506341382716
a0	0.338818219198	0.117244676823	0.300623089733	0.0329806826337	0.160253242967	0.0500801117572
a20	0.307857453066	0.131898378941	0.359021433244	0.0197147198779	0.144095607656	0.0374124319191
a18	0.259487011022	0.20872114298	0.373124741081	0.012559636826	0.111486399219	0.0346210846397
a31	0.224047507007	0.230439740993	0.315101227027	0.025709606142	0.13660200974	0.0680999198799
a0	0.164003769002	0.209633806998	0.244536335676	0.0548304840473	0.18167807658	0.14531752996
a31	0.118021559667	0.178235094333	0.200488825225	0.132647971349	0.201089955527	0.169516569987
a46	0.084600287889	0.108560225444	0.168611155075	0.18905580045	0.239603915176	0.209568593329
a33	0.0702737706297	0.0804987978147	0.135670725025	0.200607643483	0.280324795059	0.232624244443
a8	0.0787980335432	0.0822048899382	0.111489651675	0.270854921161	0.291772458353	0.164879984814
a31	0.116011427848	0.116773596646	0.102355757225	0.285640177054	0.256669806118	0.122549181605
</S>	0.140478658924	0.140404378323	0.106091393613	0.250394933527	0.248063103059	0.114567505802
