 	lo	posso	finire	di	scrivere	</S>
a20	0.427250915	0.081036445	0.06921512985	0.148146949	0.116005135	0.15834543
a31	0.693299085	0.044049953	0.0286182935167	0.0559353875667	0.067704619	0.110392696567
a39	0.785700108333	0.03245162	0.0283696591722	0.0650067844222	0.0288892408	0.0595826064223
a24	0.778130456111	0.029082782	0.0375247380574	0.0850690114741	0.0162227754	0.0539702574741
a18	0.805756838704	0.0442662716667	0.0316582956858	0.0601923394914	0.0211350344667	0.036991251158
a24	0.689904069568	0.0506350272222	0.0456955275619	0.0989375454971	0.0865846328222	0.028243209386
a31	0.568487813189	0.0379120457407	0.0700540291873	0.115437528499	0.162171787607	0.0459368257953
a20	0.476999854396	0.0430326019136	0.148885333062	0.099224622833	0.168793835869	0.0630637799318
a31	0.430067234799	0.0450525846379	0.207133354354	0.117277714278	0.143709711956	0.0567593899773
a1	0.454949964933	0.038033154546	0.194908278118	0.116928451426	0.122165797319	0.0730143366591
a31	0.306509384978	0.0458006305153	0.206668892706	0.145247463809	0.181020275773	0.114753365553
</S>	0.173240357489	0.0572755202576	0.215009846353	0.174344906904	0.246811337887	0.133318067777
