 	sta	e	dorme	nel	letto	</S>
a33	0.123847145	0.089949805	0.38383215	0.09702064	0.156835509	0.14851479
a31	0.097807485	0.064581785	0.576298903333	0.105689493333	0.0797330046667	0.0758893186667
a37	0.112127101667	0.191389671667	0.469139507778	0.131225887778	0.0510369148889	0.0450808955556
a31	0.184496933889	0.392721313889	0.239107859259	0.113529025926	0.0349232206296	0.0352216638519
a13	0.147124624963	0.32057576963	0.256016683086	0.210963208642	0.0345516565432	0.030768089284
a20	0.0558307838543	0.129892953877	0.471018337695	0.287678279547	0.0316198991811	0.0239598090947
a24	0.0202898202181	0.0507969293923	0.664217995898	0.222458589849	0.0167260880604	0.0255106290316
a28	0.0088953974727	0.0236631792308	0.741649631966	0.176614213283	0.0130924660201	0.0360851673439
a31	0.0110689224909	0.0194274174103	0.772775797322	0.138267586428	0.01473379534	0.0437265451146
a35	0.019436640497	0.0246686864701	0.771558669107	0.121091714143	0.02305617478	0.0401881450382
a18	0.038321323499	0.03124220149	0.680361839702	0.125170554714	0.0354851015933	0.0894189866794
a31	0.0430538811663	0.0325319004967	0.618231046567	0.139416071571	0.0389867328644	0.127780342226
a13	0.0490018637221	0.0362864154989	0.607615215522	0.16547921719	0.0454711166215	0.0961461350753
a39	0.0855537012407	0.050939779833	0.483478911841	0.195751229063	0.0868382322072	0.0974381160251
a31	0.10960421708	0.090429296611	0.326139843947	0.206274193021	0.138266537402	0.129285895342
a21	0.122624925693	0.123851385537	0.256023881316	0.204580271007	0.162535639134	0.130383911781
a31	0.135519415231	0.142868035179	0.207063050439	0.179318490336	0.199806009711	0.135425010594
</S>	0.139149707615	0.15795660259	0.168269860219	0.151639290168	0.231251284856	0.151733245297
