 	mi	sono	vestito	</S>
a39	0.527943365	0.1171852435	0.0936073755	0.26126398
a11	0.776575661667	0.0724576601667	0.0337803685333	0.11718631
a13	0.808071287222	0.118646566722	0.0137909723778	0.0594911783333
a18	0.813470352407	0.146168592241	0.00659247045927	0.0337685852778
a31	0.891441794136	0.0879524300803	0.00367940325309	0.0169263472593
a37	0.916779798045	0.0612120660268	0.00347832355103	0.0185297690864
a15	0.833943712682	0.111321302009	0.0164265143837	0.0383084550288
a31	0.680213984227	0.20471405067	0.0408359621279	0.0742360150096
a46	0.603219328076	0.212036250223	0.068643117376	0.116101305003
a31	0.439812831025	0.308497366741	0.117174572459	0.134515198334
a20	0.249596665342	0.416079032247	0.16927638082	0.165047869445
a31	0.198095368447	0.373341647416	0.204460740273	0.224102229815
</S>	0.175420704223	0.353992388708	0.220010055137	0.250576884907
