 	il	dito	si	gonfiò	</S>
a39	0.40110161	0.11607879	0.087672723	0.140698075	0.25444874
a13	0.564188136667	0.14254765	0.036807746	0.0758922733333	0.180564125333
a31	0.570354712222	0.278148846667	0.017155963	0.0433540557778	0.0909863637777
a20	0.582773970741	0.285614868889	0.0110373321667	0.0375340909259	0.0830396895926
a31	0.729122356914	0.147543308296	0.0089672688889	0.031052950642	0.0833140581975
a11	0.743992208971	0.132537634765	0.014763982963	0.0299413388807	0.0787647893992
a31	0.700390339657	0.156383571588	0.0228223426543	0.0381651852936	0.0822385497997
a39	0.669246359886	0.154644353863	0.0301751128848	0.0427712997645	0.103162873267
a31	0.579160953295	0.212168901288	0.0492693496283	0.0540749865882	0.105325814422
a41	0.517752117765	0.249913820429	0.0711514098761	0.0692892021961	0.0918934481407
a46	0.433495365922	0.26116637681	0.0969543999587	0.0944900240654	0.113893846047
a31	0.282722390307	0.283256535603	0.146469309986	0.139814661355	0.147737115349
</S>	0.202009457654	0.286224857801	0.178621724993	0.166720695678	0.166423257675
