 	il	vestito	della	sposa	deve	essere	bianco	</S>
a20	0.0738128415	0.05525332475	0.16404474	0.148228705	0.0736263135	0.146588105	0.116612965	0.22183299
a31	0.1469716915	0.02889081375	0.17183324	0.141623191667	0.0306816827	0.113899439667	0.130943528333	0.2351564
a7	0.216966753833	0.0415943069167	0.17824968	0.165988653889	0.0228538467667	0.0803743725557	0.117671159444	0.1763012
a31	0.178731187944	0.0474174863056	0.201275686667	0.241728677963	0.0255316445889	0.109310875519	0.0943781514813	0.101626258
a21	0.222443119315	0.0291088161019	0.171270028889	0.252419749321	0.0188144175296	0.10232630684	0.0912627208271	0.112354817333
a31	0.371745283105	0.015366037034	0.114953397296	0.20061035644	0.0133421211765	0.06187266828	0.104256508942	0.117853612444
a11	0.329779611035	0.009703033578	0.116716770099	0.31675651548	0.0112809742922	0.0493975030933	0.090430399314	0.075935206148
a31	0.183432140345	0.00591991499267	0.184934203366	0.430457251827	0.0156116039974	0.0529920250311	0.0603208541047	0.0663320240493
a46	0.134577498448	0.00944731789756	0.313972684455	0.297152190609	0.0280764363325	0.062073049677	0.0666058510349	0.0880949633498
a31	0.097113907816	0.0195002812992	0.324197751485	0.21410072687	0.0420354121108	0.0742699418923	0.0677291086783	0.16105283645
a17	0.112584449272	0.0286540320997	0.233742623828	0.173782835623	0.0762017027036	0.105489262631	0.0726671362261	0.196877935483
a20	0.143164476424	0.0498973290332	0.179085684609	0.115302095208	0.141795560901	0.13339831421	0.0721885794087	0.165167981828
a31	0.144606515475	0.0716418663444	0.113581248203	0.100848745069	0.202642216967	0.146021304737	0.0568446148029	0.163813543943
a20	0.144319845158	0.0861522634481	0.0945610877343	0.0881651683563	0.240431928989	0.141670348246	0.0439031972676	0.160796197981
</S>	0.151851882579	0.096598498724	0.0941159513672	0.0813065141782	0.256431144494	0.132355909123	0.0374994406338	0.14984066899
