 	ho	rotto	una	bottiglia	</S>
a31	0.1182200325	0.169207425	0.135536827	0.238895025	0.338140685
a21	0.2614000875	0.219565958333	0.100960823667	0.168321986	0.249751151667
a31	0.485672195833	0.229733912778	0.0956890345557	0.086856273	0.102048616222
a35	0.482006338611	0.246235747593	0.119368684852	0.100943714333	0.051445551074
a31	0.352091869537	0.325374305864	0.123384664951	0.151825218111	0.0473239770247
a24	0.239649448179	0.475729601955	0.096763607317	0.12181052937	0.0660468243416
a37	0.17326269106	0.548701683985	0.0787313181057	0.07222226979	0.127082006781
a31	0.15399282702	0.451094987995	0.101805742702	0.06854127993	0.224565148927
a33	0.135520185673	0.417280505998	0.127788120901	0.07707399831	0.242337186309
a31	0.112280928558	0.401635691999	0.1691978903	0.0827904444367	0.234095032103
</S>	0.088136344279	0.361311131	0.20732704015	0.0837936122183	0.259431866051
