 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.9335655	0.025029516	0.0051885825	0.005102612	0.005067533	0.0050659943	0.0050692204	0.0050761793	0.00556883	0.0052659623
a	0.24775727	0.6047048	0.018817887	0.01856851	0.018470734	0.018126037	0.018836392	0.018320043	0.017398436	0.018999873
p	0.15772827	0.4515536	0.07698612	0.04700113	0.045593914	0.043046895	0.04712585	0.04409919	0.0390952	0.0477698
e	0.07584574	0.5518442	0.03607276	0.048670743	0.043436	0.029832788	0.07891565	0.03614925	0.017309712	0.08192321
s	0.15368195	0.5062607	0.0562922	0.041215725	0.04071881	0.040298156	0.0405609	0.04036192	0.04000989	0.040599737
a	0.05456509	0.5612405	0.05113264	0.04832135	0.04216408	0.028171271	0.08022928	0.034386892	0.01628204	0.08350692
m	0.090754084	0.1889564	0.26449278	0.07149139	0.06650328	0.06313209	0.06446036	0.06347827	0.061926283	0.064805046
m	0.007791076	0.082096264	0.110139675	0.08570567	0.06670361	0.046689812	0.24265322	0.054004505	0.03319335	0.27102286
è	0.054649077	0.1226289	0.060276765	0.09788725	0.0889959	0.05808738	0.18891966	0.07197686	0.03401111	0.22256722
n	0.29230058	0.083956644	0.18697715	0.05535141	0.043502036	0.025542699	0.123762354	0.03126544	0.016180648	0.1411611
o	0.17941788	0.15188025	0.32227606	0.046767768	0.032521624	0.018316278	0.09761973	0.021481192	0.012583315	0.117135815
o	0.00965292	0.024540357	0.68222994	0.13556746	0.060049735	0.019995004	0.017694639	0.016900484	0.01631946	0.017049966
k	0.0003094265	0.002836264	0.52602583	0.26850247	0.110223584	0.021753363	0.020165242	0.016772136	0.013128366	0.020283328
l	4.4697448e-05	0.0017537902	0.5563245	0.24918373	0.101260036	0.02111781	0.021904668	0.016736	0.011565418	0.020109376
è	0.0011596914	0.0053750565	0.20723416	0.20863813	0.09762435	0.030455608	0.15808873	0.039106872	0.021974575	0.23034282
o	0.018410353	0.026126571	0.06077632	0.2131029	0.26881188	0.03847498	0.16651773	0.034000862	0.028769461	0.14500892
n	0.0001942359	0.0011274401	0.048653625	0.38731712	0.40465257	0.093662575	0.02899988	0.0130989915	0.007091461	0.015202061
e	2.5750769e-05	3.7077112e-05	0.036029197	0.46630985	0.3741503	0.050221138	0.03261537	0.00895144	0.0046983603	0.026961451
o	0.0009541153	0.009255996	0.046766248	0.09022621	0.3040271	0.23762514	0.17980324	0.04173622	0.050135747	0.039469995
k	0.00022454042	0.00043885567	0.0028206685	0.066843234	0.21672818	0.3475106	0.22713646	0.05527347	0.020554377	0.062469594
l	7.0548536e-05	1.04279825e-05	0.0007310525	0.078422725	0.16203032	0.5904307	0.10038224	0.02516388	0.011379848	0.03137826
è	0.00020915705	0.0009440529	0.009772786	0.06354226	0.10144994	0.1840603	0.2300134	0.027413893	0.06469491	0.31789932
o	0.0006538573	0.0022665197	0.02192803	0.0364442	0.047463693	0.087780386	0.62781554	0.09854548	0.029497597	0.047604665
n	0.0001509673	0.00013703661	0.000529837	0.0028743907	0.026932033	0.15150167	0.48650306	0.23294975	0.021031123	0.07739009
e	0.0012447928	2.937064e-05	0.00011481833	0.008845215	0.0072762254	0.35957906	0.376302	0.119106	0.058712047	0.06879045
ò	0.0022631374	0.0005100555	0.004595969	0.013492959	0.05211015	0.11616909	0.20607114	0.39033931	0.14338854	0.07105961
l	0.0014714607	0.00015653746	0.00022120935	0.0006342008	0.0038093422	0.024582565	0.54885143	0.18532155	0.075122766	0.15982896
i	0.00080733304	2.6126227e-05	0.000211134	0.008750456	0.01590671	0.27112606	0.11670325	0.2833707	0.21901657	0.084081665
i	0.0018718338	0.00035354513	0.0011241703	0.0025844956	0.0061244154	0.039870504	0.08970976	0.37866628	0.34870243	0.1309925
f	0.0037126697	0.00032097142	0.00090894505	0.001593518	0.0030279483	0.011710156	0.18257017	0.31826472	0.3134552	0.16443571
a	0.0027399124	5.5533943e-05	0.00012486549	0.0028361962	0.002100337	0.062849484	0.07097903	0.3572731	0.38213816	0.11890343
m	0.0019729477	0.00038523792	0.00091150554	0.0013952206	0.001765035	0.011300948	0.032017943	0.13862886	0.5872945	0.22432789
i	0.00087188627	0.0005079289	0.00054005336	0.0051593576	0.0021033222	0.08140341	0.008545109	0.05004859	0.4902016	0.36061868
l	0.0033944894	0.0007063906	0.0015333138	0.003351647	0.0035960064	0.015677346	0.041774493	0.11656899	0.5525052	0.26089215
i	0.000552843	6.139654e-05	5.5343615e-05	8.341969e-05	5.7640584e-05	0.0008771815	0.0006168038	0.0032147681	0.6211263	0.37335432
à	0.0006736028	0.00018653863	0.00084136665	0.0010081251	0.00081329414	0.0016540267	0.002287664	0.046234936	0.59080285	0.35549757
r	0.00021469043	6.79596e-05	0.00078706053	0.0011324666	0.00064690365	0.0013504963	0.0062262504	0.025100939	0.68080586	0.28366736
i	3.026982e-05	1.303791e-05	2.5031177e-05	5.79179e-05	5.9335056e-05	0.0015494269	0.00060564163	0.0109794	0.8115789	0.17510109
</S>	0.00047555374	6.148169e-05	0.00023980867	0.00049104757	0.00015710352	0.00015590338	0.0012263511	0.00865509	0.12654263	0.86199504
