 	forse	non	li	ha	a	casa	</S>
f	0.9263311	0.020094013	0.009735517	0.008104278	0.008627437	0.016137961	0.010969706
ò	0.33341482	0.16832879	0.07458929	0.10612717	0.10392938	0.107501045	0.1061095
r	0.49490896	0.35897782	0.031141495	0.030139448	0.025502384	0.030627985	0.028701942
s	0.6858317	0.21640056	0.03414221	0.017206756	0.01204557	0.018665453	0.015707713
i	0.59725034	0.2262691	0.037561316	0.03685411	0.024549276	0.043201752	0.03431406
e	0.006159294	0.65050024	0.2864951	0.019627824	0.012585382	0.012213143	0.012419025
t	0.0040940093	0.5716161	0.29421514	0.06920786	0.021535642	0.019135438	0.020195726
u	0.012257179	0.057425432	0.7381244	0.09060283	0.035556044	0.034948047	0.03108605
s	0.03181811	0.22085616	0.16238418	0.4034514	0.069247335	0.052052975	0.06018987
è	0.0023346322	0.032581188	0.033758733	0.38348666	0.23360276	0.20542309	0.1088129
c	0.034332875	0.020876296	0.009755436	0.7446788	0.07622275	0.076889396	0.03724447
h	0.034446497	0.01368675	0.0527635	0.29208934	0.10536591	0.4535882	0.048059918
i	0.026674991	0.0069497647	0.009275903	0.79313916	0.07910422	0.048955973	0.035900004
è	0.0017912482	0.0023922462	0.0065134712	0.22893795	0.59565437	0.061588895	0.103121795
s	0.012000316	0.00020124283	0.0018766464	0.18604842	0.5509791	0.1846517	0.064242624
s	0.0057508266	0.000115607654	0.00075884047	0.087565966	0.4776058	0.4059444	0.02225849
u	0.056498285	0.0015188042	0.01720115	0.096399255	0.47462228	0.2321158	0.121644415
</S>	0.009184623	0.0075352155	0.0019583602	0.040634062	0.23798667	0.22183245	0.4808687
