 	ho	cosa	a	fare	</S>
è	0.87874776	0.032690354	0.012794053	0.05624569	0.019522108
c	0.56044674	0.34927908	0.030431952	0.024587406	0.0352548
h	0.2038096	0.49134928	0.062646925	0.14182009	0.10037401
o	0.22744648	0.6703436	0.045857523	0.025968937	0.030383408
t	0.04711679	0.33416674	0.56064725	0.033734057	0.024335165
i	0.0164544	0.17337395	0.6131098	0.123538405	0.073523425
k	0.020568848	0.08825021	0.75136024	0.07950088	0.060319763
à	0.00087476446	0.0026105705	0.14964278	0.72795093	0.11892097
i	0.028962456	0.03937708	0.3411162	0.5568217	0.033722598
</S>	0.0023963298	0.007880624	0.12756163	0.5504588	0.31170255
