 	viene	fabbricato	</S>
è	0.8958421	0.04735547	0.056802396
r	0.8223471	0.14306022	0.034592777
k	0.6591402	0.31706077	0.023798957
e	0.30765966	0.51524365	0.17709674
t	0.09837104	0.84061927	0.061009657
e	0.061204657	0.77138525	0.16741012
f	0.07115007	0.7121341	0.21671578
a	0.014507963	0.72729796	0.25819412
b	0.1840185	0.104926586	0.7110549
b	0.0026542791	0.076492295	0.9208534
r	0.08486848	0.33892542	0.5762061
i	0.04534631	0.43583953	0.5188142
k	0.09139989	0.14258209	0.766018
à	0.003529443	0.047135126	0.94933546
t	0.044776995	0.23961045	0.7156126
o	0.0047273473	0.05457895	0.94069374
</S>	0.019860154	0.051434275	0.9287055
