 	vuole	pianto	</S>
i	0.63347405	0.2827083	0.0838176
t	0.76529515	0.18810013	0.046604723
è	0.825812	0.1328301	0.04135788
l	0.78174424	0.07130949	0.14694628
i	0.55708563	0.3515653	0.091349036
k	0.06426512	0.879189	0.056545828
l	0.012199234	0.85200495	0.13579588
a	0.107950546	0.5370237	0.35502574
m	0.024882486	0.12515873	0.8499588
m	0.0006048725	0.13153367	0.86786145
è	0.06019339	0.31167075	0.6281358
n	0.07409674	0.5490857	0.3768176
o	0.014316192	0.34479022	0.6408936
</S>	0.01583887	0.11675408	0.8674071
