 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.7643892	0.077442266	0.037951156	0.026204696	0.026653858	0.03882053	0.02853831
n	0.8701831	0.077175416	0.004727227	0.0057659643	0.01340106	0.016041338	0.012705899
a	0.5588213	0.33239865	0.019877233	0.017983066	0.023362169	0.024406709	0.023150992
a	0.19122016	0.6491521	0.06528258	0.024890548	0.023202373	0.023142353	0.023109745
f	0.0046479423	0.54828596	0.32105744	0.03822603	0.02934501	0.029095173	0.029342413
o	0.003870264	0.30173346	0.44590455	0.07187664	0.059528016	0.0594852	0.05760179
r	0.015885245	0.31793478	0.39527658	0.09933309	0.05794033	0.056799687	0.056830358
à	0.0013326026	0.09882378	0.5678404	0.10564098	0.07495745	0.087582245	0.06382257
s	0.036534004	0.25565252	0.29277843	0.19395423	0.0837786	0.09254751	0.04475469
o	0.0023073799	0.1872407	0.5575703	0.13852373	0.038911585	0.046306275	0.029140089
t	0.00021884376	0.017351316	0.30652836	0.56626076	0.060515277	0.026751874	0.022373483
o	0.00033008	0.002814887	0.27926284	0.62616587	0.040251333	0.027505828	0.023669094
t	0.00023079585	0.0046563833	0.1141271	0.61933726	0.1716889	0.04460689	0.04535264
s	9.9895704e-05	0.0007834065	0.041913938	0.72608966	0.13405152	0.061287936	0.035773687
o	0.0006508175	0.006012962	0.111006886	0.38189983	0.20129043	0.1414986	0.15764047
m	0.0009823353	0.004893706	0.04614842	0.18812786	0.318687	0.18696137	0.25419936
ì	0.001763809	0.00045031938	0.0027531635	0.015726991	0.20242992	0.6769779	0.09989793
p	0.0061148913	0.015250162	0.062241804	0.0797623	0.5561434	0.22632238	0.05416512
à	0.002219356	0.0006150229	0.0018517179	0.027520098	0.18771411	0.7088427	0.07123702
s	0.0023452304	0.0032534443	0.014892488	0.035912298	0.49769297	0.39373803	0.05216553
s	0.0011971956	0.00078976114	0.0020724267	0.019552445	0.19833717	0.6913359	0.086715125
i	0.0072281193	0.00095431507	0.002079939	0.024030916	0.2752813	0.57910025	0.11132518
n	0.0024210478	0.0020834235	0.002945506	0.009887818	0.12829068	0.29697818	0.5573933
i	0.00062955933	0.0002850863	0.00018194965	0.00063156156	0.018568806	0.8399931	0.13970995
m	0.00096771884	0.0008370896	0.00074417616	0.0019099972	0.0043733553	0.12180516	0.8693625
è	0.0015732924	0.0007523894	0.0002625387	0.000597712	0.012553153	0.55907	0.425191
r	0.0027838442	0.000682226	0.00068299647	0.0026276081	0.016494026	0.7379117	0.23881763
a	0.0039047974	0.00049567147	0.0002623769	0.00048595198	0.018035391	0.50051737	0.47629842
</S>	0.00024721405	0.00021007714	0.0001589197	0.0003607025	0.002051208	0.20351098	0.79346085
