 	Valeria	legge	il	giornale	</S>
e	0.61969805	0.07515952	0.11863549	0.102215946	0.08429093
V	0.8620164	0.039977904	0.032957695	0.030766979	0.034281105
a	0.9060087	0.036316954	0.022580165	0.012835141	0.022258945
l	0.8667239	0.046985388	0.029129839	0.028031062	0.029129894
è	0.4432641	0.4270899	0.036074404	0.008990761	0.084580936
r	0.66011554	0.27256143	0.01597728	0.004408802	0.04693689
i	0.6950863	0.269795	0.008152961	0.0059338636	0.021031898
a	0.30548027	0.6135365	0.03787401	0.017539026	0.025570255
m	0.012518789	0.6760815	0.15918557	0.07981509	0.0723991
e	0.008833318	0.91941065	0.028895726	0.0058335857	0.03702668
l	0.02841715	0.23946236	0.40787914	0.177507	0.1467343
e	0.003802345	0.6823773	0.20407118	0.011930548	0.09781863
t	0.0048548686	0.09327203	0.67476016	0.15487625	0.07223675
à	0.00563237	0.18458296	0.72119296	0.019058019	0.06953369
o	0.023120936	0.27077854	0.47834417	0.08297604	0.14478023
g	0.00073806447	0.0074626375	0.5230323	0.3486743	0.12009268
i	0.008330636	0.019860001	0.29972008	0.33608398	0.3360053
o	0.000712943	0.009794019	0.06554586	0.8204727	0.10347442
r	0.0018969029	0.003620826	0.0114391595	0.435632	0.54741114
n	0.0040455256	0.00056350644	0.03289014	0.81269264	0.14980815
à	0.008448024	0.0061622285	0.009792149	0.22089218	0.7547054
l	0.006371164	0.0020492617	0.14690615	0.54831654	0.29635692
e	0.0004329913	0.00024876208	0.006061331	0.5351933	0.45806357
</S>	0.0014778039	0.0020274017	0.017249867	0.14003581	0.8392091
