 	devo	pulire	l	albero	</S>
è	0.6665712	0.041851334	0.038643032	0.217638	0.03529641
n	0.91520333	0.024408923	0.0018720888	0.04129551	0.017220255
a	0.86339474	0.08482791	0.0032314374	0.025763234	0.022782575
k	0.29631308	0.5906735	0.050231766	0.03138846	0.031393155
a	0.055197567	0.77863985	0.029068561	0.071029164	0.06606485
t	0.04687147	0.7531276	0.13487518	0.03246506	0.032660726
à	0.0025792383	0.8521932	0.026931603	0.06913109	0.04916481
r	0.12256929	0.46729052	0.039726254	0.30208796	0.06832594
o	0.014543849	0.7115633	0.14181669	0.1118192	0.02025694
t	0.0019749915	0.48025906	0.39085603	0.08327466	0.043635257
o	0.00058431976	0.2167767	0.51710975	0.18803115	0.0774981
n	0.0008717664	0.02904189	0.72396594	0.08762501	0.15849537
à	0.00015896272	0.008213524	0.14610842	0.61563087	0.22988825
r	0.0024469814	0.017151114	0.02732342	0.9144828	0.038595702
b	0.00024435823	0.0014940298	0.18766086	0.77956116	0.031039575
u	0.002757041	0.020177528	0.41557708	0.37761056	0.18387784
r	0.0011538519	0.0018133769	0.081847474	0.17265773	0.7425276
o	0.0013554273	0.0014629941	0.0033438231	0.41956955	0.5742682
</S>	0.0067918384	0.009796861	0.009711765	0.4488131	0.5248864
