 	che	non	li	aspetiamo	</S>
n	0.942484	0.023362229	0.002393617	0.020653091	0.01110724
a	0.78681874	0.1471878	0.02565581	0.0133439815	0.026993651
m	0.22061266	0.60513365	0.12148159	0.025525095	0.02724706
i	0.29127032	0.23944378	0.18510306	0.057908572	0.22627427
t	0.24890874	0.30854544	0.3368948	0.049905032	0.05574604
u	0.047934968	0.09109213	0.71557903	0.03749641	0.107897446
s	0.1689256	0.19191594	0.47955117	0.077520184	0.08208711
m	0.032777753	0.034339458	0.50490284	0.23785776	0.19012217
ì	0.045033514	0.024971953	0.044877846	0.15229459	0.7328221
n	0.5080517	0.18743214	0.05123942	0.07085464	0.18242212
o	0.19985546	0.14870884	0.3046276	0.22341076	0.12339731
m	0.048805833	0.089736156	0.110952325	0.57567096	0.17483473
e	0.00013648444	0.00018788494	0.0040748264	0.6561624	0.33943847
</S>	0.011129549	0.03189334	0.119007245	0.25696242	0.5810074
