 	sto	e	cucino	</S>
e	0.84944826	0.033427782	0.072697654	0.044426363
s	0.83434385	0.096559905	0.03510703	0.0339892
t	0.6762652	0.25345388	0.03333702	0.036944017
è	0.73606616	0.118997335	0.052645367	0.09229114
c	0.32420334	0.4115011	0.1491149	0.1151807
e	0.21845084	0.71224177	0.032149937	0.037157487
m	0.081125736	0.581474	0.2295049	0.10789532
a	0.026339766	0.7452988	0.08959778	0.13876362
r	0.046999615	0.1794626	0.5776798	0.19585805
è	0.0009847734	0.13788465	0.7256826	0.13544796
o	0.01764288	0.11781052	0.8260989	0.038447697
</S>	0.0040917695	0.016526178	0.64585733	0.33352467
