 	ha	che	sono	usciti	</S>
è	0.6348521	0.09061941	0.13061774	0.08748209	0.056428697
n	0.5558452	0.3179107	0.08647439	0.007113599	0.032656133
a	0.22198056	0.62083924	0.113408595	0.0012169046	0.042554673
g	0.04129513	0.7338548	0.15132897	0.042290766	0.031230295
u	0.0113994805	0.37830105	0.52087116	0.0069848476	0.0824435
ì	0.027589517	0.11720588	0.5404928	0.269723	0.04498879
k	0.010111949	0.024030937	0.8729183	0.0398038	0.053135008
a	0.0038759257	0.010034694	0.7941868	0.0704699	0.12143279
n	0.0034699275	0.008615626	0.029803766	0.67506427	0.2830464
e	0.0011455807	0.00089168706	0.011901316	0.4911141	0.49494728
</S>	0.00116985	0.0020854701	0.013180138	0.1276447	0.8559198
