 	non	ha	che	li	aspettiamo	</S>
e	0.912915	0.043892168	0.006135527	0.0032883685	0.023667121	0.010101833
n	0.44996697	0.40615213	0.066780895	0.030612502	0.021347912	0.025139533
è	0.03894206	0.7165113	0.13588692	0.023114461	0.04221117	0.043334067
n	0.0143639995	0.45864394	0.4988932	0.012907221	0.0032681602	0.01192343
a	0.0013242271	0.447042	0.49841562	0.026454292	0.01505018	0.011713717
t	0.06364054	0.06678857	0.52558935	0.2755014	0.028923744	0.039556395
u	0.0025660184	0.020864587	0.37545267	0.5218396	0.051767267	0.027509939
s	0.036040217	0.042482786	0.31600222	0.36188278	0.08951321	0.15407875
m	0.005603475	0.011676904	0.07228169	0.29970455	0.50615335	0.10458005
ì	0.0007659844	0.020504579	0.16181713	0.046609297	0.3454065	0.42489648
n	0.0083050355	0.22517493	0.50604266	0.042318586	0.08243285	0.13572599
o	0.0004525778	0.06865745	0.35552645	0.13307178	0.39001703	0.052274663
m	0.0057638716	0.008161464	0.063206956	0.082325734	0.5640244	0.27651757
e	3.0783e-05	0.00031667476	0.00074078055	0.0039995303	0.77851933	0.21639293
</S>	0.0025559159	0.0027830661	0.010628996	0.119717695	0.25204384	0.61227053
