 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.827567	0.10416479	0.010900454	0.019953704	0.008028489	0.008704206	0.010555167	0.010126202
è	0.6044043	0.118667044	0.048052605	0.046487328	0.04250768	0.04677574	0.046345912	0.04675937
o	0.48029518	0.38976514	0.02807004	0.02230185	0.011662216	0.023266144	0.021473166	0.023166262
p	0.17304923	0.6222919	0.1321935	0.016841317	0.015188461	0.013504438	0.013453575	0.013477564
p	0.029553683	0.68753785	0.08723608	0.04248167	0.02764557	0.04269444	0.040582657	0.04226802
ò	0.09112546	0.37704659	0.04028041	0.08393614	0.03757329	0.12817949	0.11045652	0.13140203
r	0.04256364	0.18191846	0.6156465	0.067212015	0.016973767	0.025071578	0.024366625	0.026247427
k	0.05551587	0.5557604	0.30144888	0.046714492	0.0099864565	0.011224125	0.00865905	0.010690799
e	0.11201594	0.18899713	0.32163602	0.112327136	0.009740517	0.07840901	0.07772092	0.099153295
t	0.0004365355	0.0061165662	0.451852	0.3867597	0.11209608	0.013219319	0.014867438	0.014652337
e	0.000529263	0.008439426	0.507103	0.24420205	0.17352352	0.023215646	0.021536406	0.021450633
e	0.000956629	0.014552272	0.24418414	0.31743562	0.28820145	0.036459688	0.049247894	0.04896233
t	0.00022870486	0.0019997563	0.11101874	0.31719294	0.34004128	0.09722931	0.074263334	0.058025938
r	0.00016113072	0.0031015337	0.005117819	0.14680089	0.7255857	0.049763754	0.04192208	0.027547047
ò	0.000531125	0.0062124124	0.073982105	0.3905246	0.19337967	0.0895411	0.11135105	0.13447793
o	0.0025152517	0.012940393	0.06423533	0.22987434	0.039355148	0.49148184	0.10320427	0.05639336
p	0.0003258637	0.0013576567	0.010827368	0.058805432	0.16413914	0.48493278	0.16391139	0.1157003
ò	0.0013247749	0.001124034	0.0006101347	0.017652746	0.032099098	0.298605	0.37158665	0.27699754
s	0.001814002	0.0054763546	0.006426156	0.05253365	0.018345324	0.80233365	0.084713064	0.028357757
s	0.002257884	0.0055424143	0.00022435926	0.015010107	0.12217385	0.6309739	0.1535797	0.07023783
a	0.009898914	0.0031013603	0.0019259374	0.017978104	0.10956011	0.50714964	0.22770885	0.12267708
t	0.0020234478	0.0028950477	0.0036097995	0.010725833	0.034372035	0.41106683	0.28152108	0.25378594
è	0.0023632413	0.0017420315	0.00023520441	0.0035722083	0.007721859	0.2176184	0.36044046	0.40630654
l	0.00033615666	0.00023236232	3.060601e-05	0.0011131506	0.008041777	0.15277924	0.7033199	0.13414681
o	0.0015671937	0.00062859675	9.875225e-05	0.0040027327	0.022346394	0.40779757	0.43969995	0.12385885
</S>	0.01119235	0.012873218	0.001825216	0.0039627124	0.0073864423	0.16846497	0.44445696	0.34983808
