 	il	ladro	è	entrato	da	qui	</S>
o	0.87863153	0.10066153	0.004889178	0.0032795726	0.0032772121	0.0049502105	0.0043107057
l	0.36539802	0.49678728	0.044801183	0.020918932	0.02220181	0.02269327	0.027199509
à	0.09894064	0.6912977	0.049542196	0.04456855	0.03865522	0.039930783	0.037064888
d	0.04995644	0.2329769	0.29194123	0.07981244	0.10528173	0.12535131	0.11467987
r	0.074020535	0.16556485	0.23395346	0.15653443	0.12293681	0.122649774	0.124340124
o	0.05544583	0.19304466	0.47426566	0.10306365	0.05848557	0.055272322	0.060422264
i	0.003031719	0.03625136	0.71788067	0.20085384	0.017112637	0.010746881	0.014122938
m	0.00087267265	0.024703138	0.515916	0.32261056	0.030533992	0.027428823	0.07793486
b	0.00020936086	0.003562802	0.05345442	0.68497455	0.08340141	0.09229379	0.08210362
ì	0.0032664076	0.021164492	0.10990174	0.05428051	0.093417056	0.2692234	0.4487464
k	0.009827391	0.118996456	0.27691305	0.27651805	0.16728728	0.046775363	0.103682436
e	0.00063117396	0.005844658	0.07527894	0.66081965	0.17028801	0.048904177	0.0382334
a	0.0017985101	0.051341146	0.17280291	0.22953291	0.41157022	0.087524824	0.045429412
p	0.00044111506	0.005498125	0.008115523	0.06734959	0.25178775	0.48920393	0.17760397
ò	2.4658995e-05	0.0005855361	0.00071168324	0.0163087	0.124236204	0.5845333	0.27359998
t	4.1408042e-05	0.00035568632	0.0022545962	0.013560931	0.2673722	0.649929	0.066486225
t	3.058227e-05	0.001229496	0.00028359765	0.007067108	0.17579606	0.7110734	0.10451983
u	2.9308589e-05	0.00017696575	0.0008930946	0.008937469	0.19077769	0.7325957	0.06658987
</S>	0.0003650355	0.0012110261	0.0011568207	0.006418816	0.21300617	0.66065264	0.11718947
