 	non	aveva	da	stare	</S>
e	0.91197264	0.048158433	0.0046723774	0.018177096	0.01701945
n	0.6297571	0.26096967	0.041161153	0.033248454	0.034863617
ì	0.19800894	0.47667453	0.087003954	0.059008352	0.17930429
c	0.021140303	0.8773833	0.06369172	0.0063162586	0.031468436
h	0.030883264	0.32526714	0.07558723	0.015048767	0.5532136
e	0.009636633	0.7896453	0.13915956	0.014857671	0.04670094
n	0.015330365	0.1400496	0.75364095	0.07017493	0.020804148
a	0.00041889655	0.01983157	0.816424	0.06458032	0.09874525
s	0.0047250944	0.01500657	0.46842948	0.46141917	0.0504196
t	0.0012145638	0.019376181	0.39363143	0.39832357	0.18745421
a	0.00036712893	0.008429929	0.5488521	0.21419555	0.2281554
s	0.0005779947	0.004820379	0.08159008	0.7813701	0.13164149
ì	5.118052e-05	0.00039173692	0.0037812092	0.12111052	0.8746654
</S>	9.478372e-05	0.00045134703	0.0055686026	0.079913065	0.9139722
