 	nella	pasta	vuole	sale	</S>
s	0.811049	0.090514064	0.020995425	0.052914996	0.024526576
t	0.8542223	0.09376221	0.017897835	0.017060157	0.017057402
i	0.6700211	0.11634213	0.07854276	0.06528087	0.0698131
p	0.1600625	0.7303387	0.042725947	0.033490006	0.033382904
à	0.10915075	0.6955466	0.064949326	0.049831335	0.080522045
s	0.028969603	0.740896	0.14560969	0.042388055	0.042136714
t	0.06701655	0.7659403	0.13275808	0.017273834	0.017011145
a	0.014005403	0.6456549	0.17384495	0.07742092	0.08907377
t	0.002791665	0.029644705	0.7852173	0.12249534	0.05985108
è	0.0010659539	0.0049464335	0.6328845	0.18845005	0.1726531
l	0.0013432442	0.021782292	0.8952657	0.05804881	0.023560023
i	0.00023589226	0.0037410618	0.7374714	0.21189748	0.046654172
à	0.0023026543	0.0012777458	0.03143834	0.84098047	0.12400072
l	0.00015677471	0.0010899928	0.033513527	0.86638457	0.098855205
a	2.4058454e-05	0.0009493836	0.00878308	0.93805945	0.05218404
</S>	0.0009891256	0.0019497175	0.0033299667	0.28709543	0.7066358
