 	che	vende	buon	pane	</S>
k	0.88021654	0.06504881	0.00534054	0.03797269	0.011421398
a	0.78407043	0.10866332	0.035352062	0.034832295	0.037081942
i	0.31741363	0.53034383	0.05362558	0.049028512	0.049588423
p	0.14692956	0.6482207	0.12269338	0.04041292	0.041743383
u	0.023728017	0.5404883	0.24387082	0.08729836	0.10461441
l	0.11732364	0.39100733	0.32586753	0.07761379	0.08818763
ì	0.006518106	0.22293234	0.59659034	0.07920768	0.09475149
t	0.0592452	0.23091331	0.55703837	0.07035038	0.08245268
s	0.0026840423	0.14906713	0.74943507	0.045163386	0.053650334
o	0.026590776	0.19817089	0.37559822	0.091207385	0.3084327
m	0.0048564062	0.013383681	0.41920874	0.23914582	0.32340544
ì	0.0012167456	0.015717695	0.20137052	0.37031218	0.4113829
k	0.010570983	0.06219556	0.12624945	0.7062424	0.09474158
a	0.00022967414	0.0015063542	0.0491545	0.82249683	0.12661271
l	0.0006291146	0.0025536066	0.017119937	0.65261143	0.32708588
ò	9.697258e-05	0.0001815708	0.0021183689	0.45489368	0.5427094
</S>	2.9312794e-05	0.00021686556	0.0011463062	0.45606574	0.5425418
