 	non	li	aspettiamo	più	</S>
e	0.8517775	0.072989844	0.00566849	0.05084005	0.018724151
t	0.36300743	0.5694747	0.032759573	0.016724607	0.018033676
u	0.05279203	0.79643524	0.07183936	0.037066583	0.041866828
s	0.29342607	0.3077784	0.29841626	0.05119126	0.049188044
m	0.03093236	0.05155436	0.6997385	0.11012973	0.10764498
è	0.058827665	0.09004691	0.11910389	0.13108699	0.6009345
n	0.29067367	0.06792241	0.3019057	0.0725739	0.26692432
u	0.03992836	0.16325897	0.65748906	0.033366676	0.10595692
m	0.06579446	0.08228353	0.42529923	0.36899856	0.057624295
e	0.001168235	0.0039689164	0.5151352	0.24112087	0.23860672
p	0.023047013	0.096975684	0.11312329	0.6674259	0.0994282
l	7.586366e-05	0.00022485551	0.0395776	0.71011686	0.25000483
è	0.00041469137	0.0101849465	0.037051644	0.53959626	0.4127524
o	0.0033300358	0.017045628	0.123623356	0.7145112	0.14148979
</S>	0.0003335389	0.00033383406	0.0015460845	0.043451454	0.95433503
