 	li	vestono	i	genitori	</S>
t	0.7849177	0.047181204	0.056176614	0.043535534	0.06818893
u	0.8490713	0.01775114	0.042981416	0.041907746	0.04828835
s	0.26737714	0.36997262	0.13534006	0.11338224	0.113927916
i	0.10231301	0.028426724	0.24379465	0.18069993	0.4447657
n	0.051283177	0.73976016	0.117395885	0.046071768	0.045489084
d	0.019025767	0.09875276	0.36970603	0.111430824	0.40108454
ì	0.08840842	0.040111035	0.17479318	0.21287246	0.48381484
n	0.027207602	0.29707724	0.5176469	0.08340949	0.07465877
n	0.052326486	0.09157254	0.7198518	0.044580363	0.09166881
o	0.07737022	0.152454	0.37613627	0.16894424	0.2250952
n	0.0016203726	0.055614643	0.7093664	0.16204797	0.07135069
e	0.0009120684	0.0024827584	0.7810406	0.13570954	0.079855025
i	0.016436776	0.042222183	0.13843055	0.7442945	0.05861596
g	0.0002525182	0.000296849	0.009891618	0.9633638	0.02619519
e	0.00020150615	0.0017383345	0.010885988	0.7121651	0.27500904
n	0.0033787282	0.0101270145	0.027992474	0.84348226	0.11501955
i	0.0006393665	0.0017714415	0.002154051	0.39210388	0.60333127
t	0.0015583833	0.0025917497	0.017030453	0.4705522	0.5082672
ò	0.00019699775	0.00046242584	0.00085871166	0.17070192	0.82777995
r	0.001708424	0.0002883059	0.018735424	0.20942123	0.7698466
i	0.00024911473	0.0020516638	0.0011059792	0.20582542	0.7907678
</S>	0.0004326835	0.00014449154	0.0036929683	0.057335414	0.9383944
