 	lo	sentii	che	viene	</S>
t	0.82068515	0.021104418	0.02080107	0.10895715	0.028452273
o	0.89292717	0.03160746	0.024101147	0.025095602	0.026268708
n	0.11704069	0.76996	0.046216417	0.03380812	0.032974806
ì	0.05261258	0.027220273	0.22362097	0.25915855	0.43738765
k	0.04879599	0.35709822	0.33957627	0.10917833	0.14535119
u	0.23370278	0.05562582	0.34702018	0.09685613	0.26679504
s	0.036310054	0.12216604	0.7694096	0.05389358	0.018220795
a	0.0027602476	0.010768274	0.817937	0.11174039	0.05679418
n	0.00790437	0.09024871	0.49354196	0.36816525	0.040139697
a	0.00038478526	0.0009744491	0.19210355	0.7055595	0.1009777
r	0.005782257	0.01859969	0.040919166	0.8559366	0.07876231
t	0.00014036843	7.024016e-05	0.002228021	0.8736071	0.123954326
i	0.0076506566	0.0014658844	0.11699904	0.36208582	0.5117986
</S>	0.001774971	0.00051261566	0.007834957	0.09362747	0.89625
