 	non	ho	dove	d	andare	</S>
e	0.85485476	0.059034545	0.028521182	0.015184661	0.026902715	0.015502014
n	0.43876237	0.3819993	0.104068205	0.025667373	0.024705904	0.024796735
è	0.032287627	0.43226856	0.37114042	0.036807276	0.07429105	0.053205155
c	0.012312676	0.45633698	0.38801822	0.074963555	0.036788292	0.031580243
h	0.01057374	0.19423643	0.46475658	0.14844516	0.07798403	0.1040041
o	0.0038804496	0.2959038	0.5924229	0.051952742	0.02628043	0.029559677
p	0.011695356	0.02426168	0.5112931	0.3962795	0.03181126	0.024659092
u	0.00045028812	0.009610327	0.33375725	0.3124046	0.1787508	0.16502668
è	0.02182773	0.02202647	0.1259216	0.6288083	0.13114424	0.07027157
n	2.0414866e-05	0.0010270341	0.0040122503	0.8342386	0.14081654	0.019885194
a	0.00011854649	0.00038426102	0.006729128	0.3755716	0.5667721	0.05042432
p	0.002447894	0.0028041047	0.0067337607	0.051030565	0.8415492	0.095434524
à	0.0001911018	0.0008868251	0.0022318289	0.009452835	0.6820531	0.30518433
o	0.00011157237	0.0023897032	0.004945761	0.0606467	0.8848597	0.04704664
</S>	3.0924104e-05	0.00031302386	0.0010364118	0.0022210681	0.43958938	0.5568092
