 	entrò	da	qui	</S>
m	0.88634074	0.01805151	0.036090717	0.059517052
b	0.693183	0.12326201	0.094815455	0.08873953
ì	0.37956175	0.15658875	0.2082087	0.25564075
k	0.21791366	0.6276182	0.05493113	0.09953705
e	0.2817478	0.6293977	0.050922245	0.03793237
a	0.10107988	0.73013103	0.10737637	0.061412755
p	0.0042553726	0.23148796	0.60448897	0.15976769
ò	0.0015612926	0.17281754	0.64339054	0.18223062
t	0.008707656	0.17374152	0.7526967	0.0648542
t	0.002236695	0.06812341	0.82576287	0.10387705
u	0.011300323	0.06915001	0.85950994	0.060039666
</S>	0.008996869	0.02854632	0.6052864	0.35717028
