 	vado	cercando	un	forno	che	fa	rustici	</S>
p	0.91688466	0.013315553	0.012945581	0.012063369	0.01103244	0.011093437	0.0114883445	0.01117666
à	0.7683395	0.0352926	0.032472096	0.034294926	0.031730305	0.030492373	0.034247044	0.033131205
o	0.6562576	0.10836653	0.04011766	0.042535905	0.03674304	0.034133114	0.042265844	0.03958023
c	0.3524116	0.51715827	0.028500237	0.02049005	0.020366516	0.020306993	0.020396706	0.020369625
e	0.16169854	0.3946919	0.07752981	0.07756661	0.07005249	0.066866994	0.07751035	0.074083336
r	0.031280074	0.795795	0.049265217	0.024934392	0.024736578	0.024668295	0.024653995	0.024666393
k	0.026976008	0.8358699	0.04957569	0.019053034	0.016595513	0.015570039	0.018694352	0.017665414
è	0.040827006	0.5459663	0.07707998	0.08430467	0.054718554	0.045438536	0.08266074	0.069004185
o	0.0392999	0.4941895	0.2787784	0.05305826	0.027993375	0.02179311	0.048730224	0.036157176
n	0.0030691773	0.43550596	0.48590648	0.017766768	0.015175577	0.014093319	0.014281548	0.014201267
t	0.00071806955	0.6665153	0.2372695	0.021848211	0.017208053	0.016843023	0.020472579	0.01912532
a	0.004269481	0.37820333	0.26168442	0.08563905	0.06076211	0.051814176	0.08423777	0.073389634
è	0.0008936737	0.058683123	0.77601165	0.046247024	0.03321613	0.027759753	0.02776485	0.029423764
n	0.0007102333	0.034945607	0.7673198	0.100897886	0.018909546	0.010174093	0.04486917	0.022173688
a	0.0011903022	0.05122067	0.7338259	0.09886055	0.025690792	0.0151925795	0.045623586	0.028395548
f	0.00078260596	0.037430223	0.21324858	0.42467764	0.1884244	0.0536274	0.040956367	0.040852807
ù	0.0010835128	0.029419841	0.12802874	0.25324777	0.26356646	0.10541742	0.111995146	0.10724108
r	0.0012839071	0.015480461	0.09377469	0.5817316	0.15561822	0.01923472	0.10552663	0.027349835
n	0.0014417437	0.0039814026	0.075200886	0.7185369	0.11606474	0.012146849	0.054871634	0.01775589
o	0.00025180142	0.001392739	0.012350515	0.78671974	0.10321614	0.014550052	0.07181044	0.009708533
k	0.0008701786	0.0023670606	0.010034378	0.10086952	0.6334792	0.15530986	0.024129787	0.072940044
a	0.004767957	0.009554147	0.013748206	0.033127382	0.56186026	0.1458291	0.06235057	0.1687624
k	0.0002844354	0.001215165	0.0044740466	0.052258313	0.4410713	0.41106063	0.048909903	0.040726162
à	0.0032651993	0.0040568165	0.0008054842	0.029869566	0.2783467	0.32763118	0.18346074	0.17256442
n	0.0032463023	0.00075162726	0.005254683	0.2263829	0.07045082	0.16855018	0.48530143	0.040062126
n	0.004006852	0.006880264	0.002519834	0.030404989	0.25991592	0.33036488	0.28159195	0.08431527
i	0.0024871337	0.0011155928	0.0012205663	0.027527245	0.07815468	0.19899103	0.57740355	0.113100104
r	0.0011027969	0.0029739605	0.0038910534	0.028883768	0.09413338	0.50542575	0.19333972	0.17024958
ù	0.0050885496	0.0018533478	0.00028793866	0.028726935	0.031233272	0.19517124	0.51551825	0.22212054
s	0.0036980645	0.0012530487	0.00039843115	0.011072669	0.0078577725	0.08276785	0.700168	0.19278409
t	0.0016904469	0.0029855666	0.00077361974	0.032798238	0.002541803	0.02481034	0.8415466	0.09285337
i	0.0047133598	0.0051135523	0.0006037866	0.014033483	0.005571679	0.09363775	0.46507707	0.41124934
k	0.029481523	0.0073536267	0.0013731781	0.025096273	0.013046379	0.055228405	0.6444024	0.22401816
u	0.0025824371	0.0012385789	0.00017425092	0.009236147	0.00088795327	0.011557489	0.7025753	0.2717478
</S>	0.0037443573	0.0010356767	0.001296359	0.0038822882	0.0064326506	0.0423475	0.09239	0.8488711
