 	era	molto	stanco	</S>
ì	0.77787197	0.09941506	0.09261146	0.030101486
o	0.89117473	0.028580006	0.042079244	0.038166028
n	0.6336951	0.19312699	0.087726876	0.085450955
e	0.20240678	0.26162246	0.30985928	0.22611143
p	0.21736304	0.5605755	0.11689249	0.10516898
o	0.028256714	0.181724	0.46322063	0.3267986
d	0.047475018	0.7188391	0.13403587	0.09965008
d	0.002148811	0.4492797	0.42635563	0.122215934
h	0.0114620235	0.4353456	0.25519088	0.29800147
ì	0.013015031	0.65113413	0.25028008	0.0855707
s	0.035247438	0.22833793	0.6628989	0.07351574
t	0.00020958058	0.07836455	0.8533463	0.068079606
r	0.009284065	0.078023456	0.7434544	0.169238
à	0.0019377245	0.02902173	0.7765071	0.19253348
k	0.00091935333	0.011781333	0.41167468	0.5756246
k	0.0005573012	0.0066015474	0.6434899	0.34935126
o	0.00083994877	0.015042269	0.6933793	0.2907385
</S>	0.0022187014	0.029581936	0.3427516	0.62544775
