 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.26144317	0.12882088	0.122882634	0.11856388	0.1192064	0.12806824	0.12101477
c	0.8968626	0.020491969	0.005486362	0.010541343	0.020119388	0.025590032	0.020908432
h	0.82075536	0.02662295	0.010041064	0.017751796	0.03589377	0.05082946	0.038105637
a	0.86219674	0.03203398	0.011909105	0.018736657	0.024308125	0.026135277	0.02468005
n	0.6311257	0.2941381	0.019075172	0.014282265	0.013809222	0.013790386	0.01377917
a	0.46276343	0.25625622	0.053697854	0.055020563	0.05708533	0.05801191	0.057164695
v	0.1463631	0.73084605	0.042677578	0.021499502	0.019620126	0.01951272	0.019480888
o	0.008707328	0.71998084	0.058593433	0.050799053	0.053220347	0.055340007	0.053359024
r	0.08514008	0.50839746	0.23350541	0.054059803	0.040298257	0.039522532	0.03907649
à	0.0046574785	0.7755757	0.1098217	0.029792564	0.026259344	0.028292673	0.025600571
s	0.14060494	0.27766678	0.3323279	0.08071228	0.057129443	0.071034394	0.04052422
o	0.0045427536	0.6567115	0.20885292	0.046481222	0.026569627	0.032427754	0.024414143
t	0.0007810077	0.063786894	0.6961856	0.18897238	0.02405256	0.014511278	0.011710245
o	0.00056939776	0.029812409	0.66957414	0.23193346	0.02524227	0.022400724	0.020467538
t	0.0004784348	0.008000638	0.39169925	0.48777506	0.05889308	0.0253539	0.027799629
s	0.0003303599	0.0035552857	0.29892832	0.5633633	0.05942744	0.042975497	0.031419795
o	0.002634289	0.024128918	0.20695485	0.40137917	0.1234058	0.11259626	0.12890074
m	0.0011962878	0.006266208	0.20910993	0.31112567	0.2307824	0.09531603	0.14620346
ì	0.0013297645	0.0005884143	0.012340304	0.09961061	0.15037899	0.5998253	0.13592657
k	0.0026545695	0.02701993	0.10159767	0.11217805	0.52282995	0.18276572	0.05095414
à	0.001550621	0.0022955309	0.061071318	0.31336126	0.38355353	0.18058623	0.057581566
i	0.00031673678	0.0031730896	0.029639307	0.060426526	0.71257114	0.16911422	0.02475896
m	0.0006857864	0.0011640649	0.008759401	0.055327766	0.40381837	0.29089057	0.23935406
è	0.004380364	0.0005876777	0.0031118256	0.011912464	0.12296102	0.6500429	0.20700376
r	0.00035020892	0.00078728737	0.0096279085	0.016319178	0.1187175	0.75670826	0.09748963
i	0.00030801675	6.1816536e-05	0.00054429425	0.003478069	0.06638428	0.8340344	0.09518919
</S>	0.0003501842	0.00023721893	0.00027388593	0.0010168797	0.015648719	0.33687294	0.6456002
