 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.8756003	0.015219425	0.012243329	0.011015943	0.01065646	0.010705895	0.01061455	0.01063005	0.010610153	0.0106648635	0.01106157	0.010977482
j	0.6530793	0.038862627	0.032652	0.030736644	0.030354876	0.030609194	0.03052344	0.0304708	0.030593509	0.030442102	0.03055593	0.031119615
i	0.6673288	0.03387591	0.029450972	0.03031312	0.029412154	0.030187516	0.0300202	0.029789038	0.030234244	0.029758953	0.030038608	0.02959052
n	0.54326	0.10400062	0.041546956	0.03497857	0.034544345	0.034546446	0.034518495	0.034501538	0.03453914	0.034492236	0.034523513	0.034548167
è	0.039931405	0.38061982	0.038730856	0.07025068	0.04498787	0.070033215	0.06191863	0.055523373	0.07082585	0.053723413	0.06313222	0.05032276
k	0.08562569	0.7046166	0.038835075	0.029638143	0.00944934	0.028656773	0.018019168	0.014456555	0.026569093	0.0129971905	0.019379405	0.011756872
a	0.4983442	0.23901404	0.038426723	0.04303363	0.009940035	0.04407551	0.021553593	0.016126495	0.038864687	0.01417547	0.023841191	0.012604462
è	0.010724382	0.24542901	0.5332883	0.042644456	0.024216073	0.02068818	0.020562403	0.020511623	0.020475676	0.020476647	0.020506624	0.020476686
n	0.0033575967	0.147045	0.5527936	0.12049594	0.014999589	0.036387198	0.021634206	0.01704159	0.032978434	0.015327269	0.024110707	0.013828868
e	0.021254564	0.09370737	0.6114475	0.0905967	0.020198632	0.029634757	0.023256395	0.020320801	0.028363861	0.019058252	0.024373423	0.01778768
k	0.0011955127	0.0058218003	0.6316375	0.21623264	0.042523593	0.0153995175	0.014774347	0.014550357	0.014296414	0.014403788	0.014462108	0.014702319
a	0.00028798057	0.0016592513	0.6557531	0.17883317	0.037591543	0.018898953	0.018144764	0.017668536	0.018324098	0.017498914	0.018067531	0.017272217
p	0.000939193	0.0016459717	0.21620497	0.533521	0.13096103	0.018762331	0.016894955	0.016272519	0.015570894	0.015893448	0.015935626	0.017397985
à	0.00030897983	0.0014585309	0.112368785	0.49728882	0.10293763	0.039401416	0.043191142	0.03817994	0.048888735	0.036889907	0.044325553	0.03476047
c	0.0012894275	0.001966081	0.045534257	0.76882535	0.09395636	0.02678471	0.011756612	0.008348402	0.01633574	0.0071085254	0.011803617	0.006290881
e	0.00039482806	0.000546318	0.041148867	0.7504413	0.05739355	0.050237015	0.01430359	0.010990854	0.033042815	0.010585538	0.021054966	0.009860419
n	0.00026785673	0.0003859961	0.03090137	0.45053968	0.42657378	0.024667744	0.014406015	0.0115096625	0.010080959	0.010094215	0.010034453	0.010538312
a	0.0001153102	0.00041880523	0.051359188	0.4620952	0.35160318	0.031860135	0.020488216	0.017009512	0.017875116	0.015401703	0.016931614	0.0148419505
p	0.00026354758	8.58384e-05	0.009237502	0.21255928	0.5702991	0.09935203	0.034442507	0.018829754	0.012157729	0.012176841	0.012160905	0.018434983
u	0.00028247826	0.0014307803	0.0012138272	0.16363923	0.41213664	0.04666753	0.06757866	0.05687803	0.075180195	0.053240057	0.0720439	0.049708687
l	0.00016903483	7.53529e-05	0.0048452048	0.07288436	0.5768721	0.19548419	0.065835	0.02828897	0.010759862	0.013335418	0.0125581985	0.018892324
i	0.0006440838	0.0008870793	0.0019273604	0.14430627	0.39277694	0.09854121	0.13967825	0.052930254	0.056962214	0.03740109	0.045593992	0.028351298
z	0.0003441311	6.335748e-05	0.002213169	0.014030001	0.26428166	0.41789573	0.17737319	0.06214847	0.011574971	0.013989796	0.01347165	0.022613758
z	0.0030572482	0.0010022452	0.0018815438	0.067839175	0.29355124	0.08809069	0.28131878	0.05245146	0.06313244	0.06837934	0.054336164	0.024959708
è	0.0002047983	0.00033909452	0.0006688707	0.036460906	0.39049092	0.12574567	0.11807478	0.057291754	0.06502067	0.03782243	0.080317385	0.08756272
s	0.0011734047	6.906954e-05	0.0051585194	0.02822895	0.051635556	0.6968599	0.12470877	0.036767613	0.016001333	0.010869776	0.019210009	0.009317126
s	0.00013843876	0.0003404323	0.00017803957	0.07921751	0.14568421	0.47979686	0.14488022	0.044276927	0.06348476	0.012288706	0.02095807	0.008755822
