 	vuole	andare	a	Lecce	</S>
i	0.9062811	0.039568763	0.019042352	0.018805956	0.016301831
t	0.6425094	0.25668132	0.032705788	0.03434285	0.033760548
è	0.36455894	0.44641176	0.067753464	0.059773177	0.061502684
l	0.44007546	0.4458694	0.043852404	0.027461717	0.042741057
i	0.39025313	0.54744804	0.026981952	0.012270899	0.023046026
n	0.07580314	0.8469666	0.045975875	0.01628261	0.014971714
a	0.010043877	0.8303655	0.07919609	0.038045127	0.042349435
p	0.022962108	0.43069664	0.41096497	0.06919263	0.06618363
à	0.0023947987	0.23729126	0.5512144	0.07222904	0.1368705
i	0.08035937	0.16022095	0.6027664	0.076313876	0.08033937
L	0.00071543385	0.01709689	0.5880112	0.34053388	0.053642523
u	0.0002575812	0.0061495528	0.73741555	0.1363236	0.11985366
p	0.0008998065	0.011473676	0.13058738	0.8279302	0.029108874
p	0.000794324	0.0016954968	0.22056822	0.47850013	0.29844177
ì	0.008530476	0.035834257	0.09703867	0.12189406	0.73670256
u	0.0030972755	0.011268261	0.08222881	0.8430858	0.060319763
n	0.00096056855	0.0014423335	0.015109621	0.31476966	0.6677178
a	0.0022078892	0.0007030003	0.030387457	0.6546437	0.31205797
</S>	0.0031377124	0.0035205719	0.015999625	0.1313283	0.8460138
