 	il	dito	si	gonfiò	</S>
o	0.95438004	0.008402629	0.0066690505	0.025376707	0.0051716077
d	0.7818433	0.118264735	0.033113986	0.03159956	0.035178445
à	0.19996727	0.6233286	0.032611772	0.046519104	0.09757318
t	0.055283055	0.8689685	0.010589903	0.010212377	0.054946203
t	0.09010993	0.8437639	0.008470142	0.008831348	0.048824728
i	0.14227317	0.4792482	0.05201737	0.065086916	0.26137432
l	0.029307676	0.47490114	0.390169	0.048245426	0.057376754
o	0.02173397	0.29028273	0.38060236	0.07954256	0.22783837
è	0.008646094	0.09115933	0.8075611	0.046430122	0.04620335
p	0.0018344701	0.056329496	0.5811583	0.07097158	0.28970623
r	0.0008040097	0.024837056	0.16885908	0.3092593	0.49624056
i	0.009532892	0.25960612	0.2233627	0.21297273	0.29452553
m	0.0027486037	0.016215935	0.11874533	0.45325568	0.4090345
m	9.159611e-05	0.0036637243	0.009112255	0.4502894	0.536843
è	0.0010202818	0.05718047	0.27724567	0.14347312	0.52108043
n	0.0006157272	0.0018380806	0.01508827	0.622552	0.35990596
o	8.7000255e-05	0.0012927742	0.0055273655	0.38591897	0.60717386
</S>	0.00040052418	0.0011005717	0.031972077	0.18760285	0.778924
