 	non	mangiare	la	sera	</S>
m	0.86265785	0.06452808	0.02091089	0.034243602	0.017659657
i	0.19520286	0.38863736	0.13835673	0.13050203	0.14730102
f	0.22050312	0.55101115	0.08321286	0.07306401	0.07220888
a	0.0090215765	0.7598861	0.109062605	0.046973243	0.07505654
i	0.12767054	0.37312964	0.3453881	0.08023758	0.07357406
o	0.018032132	0.086838216	0.7544617	0.082842804	0.05782517
v	0.0027163029	0.020600658	0.51715314	0.3199496	0.13958034
r	0.0042457213	0.008193495	0.60213786	0.2028958	0.18252718
à	0.0007704587	0.021323254	0.74073	0.14916788	0.088008374
i	0.007840551	0.08187551	0.15140927	0.67971975	0.07915496
</S>	0.00017067464	0.0011410584	0.053878818	0.8426638	0.10214562
