 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.9084133	0.039644033	0.006551331	0.023351222	0.0032559384	0.0031736458	0.0030892277	0.0030309102	0.0030588883	0.0031175378	0.0033141566
d	0.5487101	0.2220063	0.024137	0.013534456	0.026240198	0.027585719	0.027773779	0.027751202	0.027466055	0.02743086	0.027364317
ì	0.09618425	0.21289201	0.013693657	0.0072691776	0.037724484	0.10638549	0.13152255	0.12837766	0.0920796	0.09004709	0.08382402
s	0.07025827	0.61168486	0.027496988	0.00420888	0.01586915	0.045590512	0.057193585	0.055711314	0.03902559	0.038152516	0.034808397
o	0.17218484	0.62854606	0.023341289	0.0023317833	0.011452746	0.027421206	0.03239868	0.031783726	0.024353534	0.023918604	0.022267539
n	0.10443182	0.42746273	0.36054376	0.015253813	0.014616376	0.012986836	0.012970919	0.012951096	0.012918936	0.012922053	0.012941684
t	0.031407572	0.5262714	0.346483	0.0027099857	0.014696615	0.013086738	0.013199514	0.013152001	0.013029009	0.012987364	0.012976824
a	0.019274188	0.48265213	0.0917742	0.0042891526	0.032701015	0.06203975	0.06930976	0.068424225	0.05724203	0.056896288	0.055397205
o	0.034167733	0.09693199	0.6940069	0.038616758	0.030225089	0.017883202	0.01771744	0.017607434	0.017470649	0.017463349	0.017909477
n	0.00801472	0.0413994	0.6784749	0.070375256	0.06370853	0.023230117	0.022717845	0.02255704	0.022177517	0.022411231	0.024933467
a	0.0016047986	0.008665832	0.3620067	0.012089618	0.20542578	0.044460017	0.08290788	0.07586124	0.0756083	0.058081705	0.07328807
d	0.0034041896	0.010246335	0.17308494	0.4568232	0.23670655	0.021837844	0.019434955	0.018108206	0.017788462	0.018112468	0.024452863
e	0.00016643532	0.0013097458	0.03183371	0.03240572	0.37455255	0.02912528	0.13882706	0.11242768	0.112910025	0.061804384	0.10463733
r	0.00074837415	0.0011042742	0.035964422	0.52078146	0.34225416	0.023305785	0.01598346	0.012463353	0.011880205	0.012730292	0.022784192
f	0.0002999042	0.00052810553	0.015154838	0.23915829	0.30626968	0.0261741	0.12908895	0.07600632	0.08676222	0.036162514	0.08439508
ò	2.9311223e-05	9.373429e-05	0.007031709	0.015886998	0.2883699	0.04315316	0.19025762	0.15692167	0.067235865	0.08601672	0.14500335
m	0.00047924358	0.0012615165	0.019190332	0.22792192	0.22071408	0.152436	0.19874243	0.085408434	0.020436108	0.049017604	0.024392297
m	0.0010332661	0.00047002145	0.0016726137	0.17277916	0.47352365	0.007985067	0.17441407	0.05482761	0.045069113	0.035615515	0.032609925
u	0.0058619874	0.0037207531	0.05607961	0.006461468	0.33303937	0.03886819	0.17940687	0.16047636	0.0675839	0.08179427	0.06670717
o	0.0012055889	0.0023762446	0.018082818	0.044249322	0.54143125	0.12648344	0.09413615	0.040824436	0.03995696	0.038822602	0.05243113
n	0.00027800616	0.0006854966	0.002747127	0.030408666	0.23553666	0.44153428	0.17153868	0.034379993	0.030919045	0.025181886	0.026790088
ì	3.7970512e-05	5.6730314e-05	0.00010827702	0.0026356522	0.10371785	0.122131504	0.364647	0.1145041	0.12055559	0.06334188	0.10826345
c	0.00012051869	5.134305e-05	0.00044738495	0.023145776	0.010657148	0.3386983	0.5691625	0.038232014	0.0065256883	0.008432274	0.0045270696
h	0.00027163778	0.00014044806	0.00021238081	0.0017837408	0.17476459	0.037542183	0.55789983	0.071051285	0.041678198	0.09123252	0.023423206
a	2.8656319e-05	6.756181e-05	0.00038819673	0.002256529	0.0660683	0.4426728	0.42021096	0.028229028	0.016033	0.01327522	0.010769749
p	0.00050544273	0.00036151672	0.0012833613	0.00891795	0.033783067	0.16528179	0.45193434	0.11585197	0.111105	0.041794978	0.06918068
à	8.1889055e-05	0.00016872762	0.0004440574	0.000180422	0.020104878	0.029847886	0.4223706	0.05893164	0.08677063	0.20870905	0.17239018
r	9.6776406e-05	2.5206422e-05	0.00016890116	0.004825217	0.0040335464	0.19758749	0.5130168	0.23893291	0.024816444	0.010543667	0.0059529864
o	0.00012960607	2.7671489e-05	0.00039502745	0.0005010954	0.029530272	0.09001724	0.5395685	0.22413377	0.06347963	0.04018399	0.012033199
n	0.00026921765	9.676256e-05	0.00017900878	0.001237059	0.005976915	0.07456577	0.22582261	0.3960179	0.17167997	0.074275404	0.049879413
t	0.00011885292	4.184966e-05	0.00010533873	0.00045284242	0.0049875537	0.016282976	0.31850237	0.21011935	0.24310951	0.14308673	0.06319264
a	0.00044445173	0.000340347	0.0004243363	0.00014180841	0.0041954224	0.07077748	0.19018859	0.2584667	0.15845184	0.19173677	0.12483225
d	0.00027261325	0.00029387124	0.0003242306	0.0010755116	0.0023032904	0.038522176	0.12542446	0.44967383	0.18990903	0.12876174	0.063439235
e	7.337584e-05	8.220331e-05	3.921227e-05	0.0001657246	0.0011612342	0.0042039296	0.0932884	0.27290717	0.3170614	0.16048346	0.1505339
f	0.00042568476	0.00033267695	0.00037152512	0.002491312	0.0007336528	0.0029110117	0.010784299	0.4507795	0.24464183	0.17285258	0.11367595
ò	0.00037992123	9.943523e-05	2.3695411e-05	0.000729359	0.00029082215	0.0008048618	0.05127542	0.1580513	0.4921993	0.14944573	0.14670023
r	8.765858e-05	8.523746e-05	0.0001425198	0.00010218774	0.00046031587	0.0027881416	0.01832835	0.41072023	0.10105266	0.22368465	0.24254806
e	0.0005399601	0.00015756329	0.00015101356	0.004858844	0.00045652536	0.0003636223	0.11770668	0.13168924	0.31910437	0.26147014	0.16350207
m	1.5649868e-05	0.0001443173	5.3555195e-05	3.0909472e-05	0.000110926194	0.0003129008	0.0013720051	0.03025995	0.049520332	0.4511607	0.46701878
a	5.4792257e-05	7.0788075e-05	2.5256857e-05	0.00024487072	0.00039132393	0.0013403528	0.022675404	0.07195381	0.2534337	0.48804784	0.16176195
m	0.00011498378	0.0005445824	0.0003400287	0.00042123764	0.00021176078	0.00065128796	0.0009136744	0.019233195	0.06405896	0.67996925	0.23354106
è	0.0003173208	0.00023322883	0.0001282421	0.001564836	0.00040386355	0.00081320864	0.032504987	0.020602005	0.21764834	0.55142415	0.17435987
n	0.00020818095	0.00010095373	6.306423e-05	0.0001442125	0.00028119137	0.00070366665	0.0037412783	0.050255824	0.028870992	0.6639545	0.2516762
a	0.0015294886	0.0010945998	0.0011243275	0.025790162	0.00041025854	0.0004618438	0.02464451	0.013061779	0.09862454	0.32252613	0.51073235
</S>	4.986273e-05	6.6299486e-05	3.5683373e-05	2.5908712e-05	0.00027373526	0.000536227	0.00059996045	0.001084154	0.021105979	0.37141925	0.604803
