 	è	che	è	entrato	da	qui	</S>
è	0.8519739	0.094073474	0.016331874	0.0050609373	0.0061456063	0.013075345	0.013338919
n	0.26527146	0.5580122	0.09822533	0.018759908	0.018096918	0.01915595	0.02247827
a	0.06168807	0.5114857	0.24626936	0.10886259	0.024572734	0.023892393	0.023229143
m	0.04385786	0.2983339	0.50012803	0.113996096	0.014121579	0.009486141	0.020076357
b	0.0049836016	0.068285935	0.24713258	0.48574516	0.06700277	0.06586476	0.060985167
ì	0.03362664	0.15051101	0.10480827	0.11146913	0.15504017	0.18577142	0.2587734
k	0.07185443	0.26125666	0.26663804	0.27914247	0.06311297	0.017935509	0.040059898
e	0.03086474	0.067663915	0.13630117	0.6324199	0.08154133	0.027664704	0.023544168
a	0.017677562	0.15784259	0.18887508	0.26983783	0.2933247	0.0371166	0.035325635
p	0.00076254475	0.0017945775	0.012964516	0.08079455	0.36315438	0.39391384	0.14661556
ò	7.815497e-05	0.00067005254	0.0056490717	0.039360985	0.19975111	0.46040648	0.29408407
t	0.000781096	0.0021748852	0.012564129	0.04082958	0.42664713	0.47178033	0.04522279
t	9.313329e-05	0.0004540437	0.003149445	0.013814892	0.2899439	0.6095245	0.08302012
u	8.502238e-05	0.00037492582	0.0024312893	0.024307497	0.31014237	0.5966871	0.065971866
</S>	0.0014536934	0.0016806433	0.0022763219	0.0075046523	0.15416804	0.61128235	0.22163425
