 	le	canzone	si	scrivono	alla	notte	</S>
a	0.93973684	0.010849068	0.010464483	0.010520754	0.009409632	0.009409977	0.009609052
t	0.8408099	0.024510644	0.02776728	0.02622586	0.026214363	0.026958868	0.027513037
r	0.33997524	0.08832562	0.06674497	0.1298816	0.12036623	0.12610772	0.12859856
a	0.7999407	0.046387505	0.0061021005	0.03769154	0.03223885	0.038985122	0.03865412
ù	0.47658506	0.19032507	0.12508468	0.053252697	0.051563956	0.05158855	0.051600017
d	0.09592186	0.5581028	0.039033163	0.070018776	0.035243664	0.12539892	0.076280825
i	0.05754019	0.22753274	0.051164802	0.18140578	0.09184247	0.20117082	0.18934323
a	0.017604392	0.041010667	0.81841195	0.04799458	0.025595058	0.024677519	0.024705775
g	0.00075370097	0.011116221	0.7448996	0.13531074	0.03139143	0.04095142	0.035576917
r	0.00016573293	0.00823088	0.30627823	0.41608813	0.0899002	0.089729324	0.08960752
à	0.0012644391	0.02290914	0.29066086	0.4366265	0.08014327	0.085897386	0.08249843
f	0.0011622213	0.051768906	0.027344385	0.6795956	0.052428994	0.1257989	0.061901003
u	8.090385e-05	0.0029561045	0.028768837	0.7976213	0.04428056	0.080473326	0.04581888
t	0.004339684	0.03206453	0.10995506	0.27979848	0.37614402	0.09820676	0.09949147
t	9.151999e-05	0.0013832273	0.018580757	0.25494546	0.53316396	0.12878102	0.06305403
e	6.576876e-05	0.0028369287	0.0061152433	0.07737001	0.31183156	0.39860427	0.20317619
t	0.0005289359	0.0033727558	0.0047809216	0.005370944	0.621344	0.23196158	0.13264085
s	0.00013946286	0.0006196145	0.00043832618	0.03295916	0.5091408	0.16168323	0.2950194
e	2.4659459e-05	0.0024649338	0.0010068464	0.03106693	0.7444404	0.09202032	0.12897599
n	0.00034896957	0.0011685176	0.007824266	0.007703708	0.5178696	0.35178208	0.113302864
ì	0.0024314146	0.0024482524	0.0008113551	0.020056289	0.18394864	0.33060148	0.45970255
t	0.00049242587	0.0024591938	0.003914885	0.018130248	0.17251495	0.6456541	0.15683421
t	0.0015753879	0.010059388	0.0007381245	0.04911465	0.1801021	0.5680369	0.19037345
a	0.00028655655	0.0016536538	0.0013351267	0.0036867298	0.24647535	0.6334097	0.1131529
</S>	0.007397364	0.012973628	0.00020825553	0.088695996	0.1288274	0.508807	0.2530904
