 	dove	aveva	per	stare	non	aveva	</S>
p	0.9441747	0.03168531	0.0025797803	0.0021771681	0.0033859224	0.013559638	0.0024374654
u	0.6876704	0.030675434	0.06894945	0.048527636	0.029587641	0.06662627	0.06796314
ì	0.25096813	0.51702607	0.08182339	0.038145967	0.037137296	0.037411913	0.037487302
c	0.053728446	0.7213044	0.17810613	0.006650169	0.0022774711	0.017747318	0.02018609
h	0.13705006	0.19181994	0.18476489	0.008526177	0.013492766	0.17965448	0.28469172
e	0.07181936	0.6798806	0.17665288	0.011142027	0.003697023	0.026997933	0.029810151
n	0.0041848	0.2159601	0.7056516	0.03585787	0.0132862	0.012524235	0.012535259
a	0.0023191746	0.021879988	0.88363177	0.013401626	0.007466697	0.03444472	0.036856007
s	0.002303004	0.044281222	0.61412364	0.24429108	0.03945837	0.025748234	0.029794442
t	0.00222874	0.08498379	0.574969	0.07780767	0.0125658	0.108410634	0.1390344
a	0.001448623	0.005982547	0.6239197	0.03196319	0.009123242	0.10406857	0.22349417
s	0.0007986796	0.009961394	0.17530091	0.6454604	0.07390816	0.03675844	0.057811994
ì	0.00020946476	0.0052907225	0.054374702	0.13050197	0.01605928	0.19851756	0.5950463
e	0.0045143813	0.028253678	0.090655096	0.26425964	0.17775764	0.39273745	0.041822124
n	0.00036832946	0.00096291106	0.02645206	0.47177273	0.27280673	0.12434908	0.103288166
ì	0.0001078333	0.0026357367	0.0024864953	0.03159718	0.053100403	0.80989337	0.10017903
c	0.00019326832	0.0001408791	0.00269055	0.009177693	0.054677363	0.79809767	0.13502261
h	0.0002544575	0.004858035	0.00050563505	0.008326176	0.108487174	0.47447908	0.40308937
e	0.00026941934	0.0009956963	0.0015484958	0.0019206996	0.009694192	0.68249285	0.3030786
</S>	0.0023317959	0.0021929443	0.001143823	0.0044942535	0.009487131	0.54099005	0.43936
