 	sta	e	dorme	nel	letto	</S>
s	0.93530965	0.043583777	0.012904158	0.0026309195	0.003035472	0.0025360067
t	0.74625933	0.16266637	0.024119573	0.02195282	0.02232112	0.022680774
e	0.6455047	0.13014813	0.04392592	0.03308032	0.05184019	0.095500775
c	0.25395966	0.6020019	0.05302836	0.029115735	0.029545663	0.03234857
e	0.13531008	0.66053516	0.07660379	0.029178195	0.042328667	0.05604412
p	0.1537909	0.42047372	0.26495162	0.050344933	0.049673967	0.06076492
l	0.0064859134	0.17191793	0.547616	0.06451916	0.08379209	0.12566891
ò	0.032624096	0.11541388	0.2562218	0.04104285	0.11545975	0.43923765
n	0.051287327	0.08920239	0.50618404	0.07691433	0.10132286	0.17508909
n	0.0067677707	0.1022968	0.681799	0.16015932	0.01926479	0.029712338
i	0.060320847	0.11353006	0.23486826	0.111254975	0.13661882	0.34340703
s	0.0024069622	0.00945056	0.13847363	0.5305546	0.1638318	0.15528245
t	0.0003095387	0.0014827595	0.12686716	0.75874406	0.07038211	0.042214427
o	0.0013688973	0.0072862534	0.17017226	0.30662578	0.23146304	0.28308374
g	0.001710199	0.0021204564	0.012962195	0.24631065	0.6032073	0.13368925
r	3.1278138e-05	5.3675034e-05	0.0017895399	0.036322374	0.58548945	0.37631366
à	0.00046702	0.0021487458	0.05302891	0.07035229	0.75568736	0.118315704
t	0.00028583157	0.00043674215	0.0056994325	0.15063417	0.65180635	0.19113751
t	0.00045507314	0.00019512272	0.0024892793	0.03566761	0.7418798	0.21931306
i	0.00018955261	0.00027039734	0.009809749	0.19610763	0.46766728	0.32595536
</S>	0.004474871	0.0020513795	0.012133827	0.062483482	0.5351329	0.38372362
