 	che	non	li	aspettiamo	</S>
n	0.94251066	0.023457533	0.002355006	0.020717662	0.010959093
a	0.77059454	0.1573665	0.02797681	0.01714413	0.026918177
m	0.2212801	0.59550464	0.13006192	0.025766017	0.02738731
i	0.2729498	0.23308273	0.20550428	0.087134406	0.20132881
t	0.25548932	0.30240896	0.3411973	0.044067625	0.056836795
u	0.04231656	0.07904174	0.72699606	0.057230923	0.09441471
s	0.17684995	0.19790156	0.46553078	0.06927701	0.09044057
m	0.025885152	0.026628388	0.43213156	0.3738678	0.1414871
ì	0.04956236	0.029470922	0.052032407	0.1960152	0.67291915
n	0.53463304	0.1949525	0.048440933	0.07631416	0.14565936
o	0.184351	0.13997456	0.27223	0.32021883	0.08322561
m	0.04711338	0.08804682	0.10742745	0.5835693	0.1738431
e	0.00012379521	0.0001614035	0.0035091736	0.7628832	0.23332241
</S>	0.0113912355	0.03291021	0.124647014	0.23137647	0.59967506
