 	non	sono	ancora	vestita	</S>
e	0.91082895	0.041910887	0.0065913624	0.027003516	0.013665274
n	0.83221936	0.05866084	0.04122527	0.03209567	0.03579883
ì	0.21207303	0.66630894	0.048795585	0.010552024	0.062270477
m	0.037907828	0.9271145	0.013902275	0.0025145572	0.018560883
e	0.02523781	0.9558498	0.008371109	0.0009273019	0.009614023
a	0.08814154	0.13945328	0.6826895	0.04521442	0.04450128
n	0.007984862	0.019244952	0.890073	0.04313714	0.03955995
k	0.0195429	0.026765803	0.8940451	0.009079102	0.050567072
ò	0.008076789	0.04069669	0.36786124	0.01963984	0.5637255
r	0.044889186	0.61277854	0.17131084	0.101448126	0.0695733
a	0.006398441	0.026823651	0.94171035	0.011074953	0.01399257
e	0.036467783	0.020546902	0.18523884	0.6623884	0.09535809
n	0.00045152285	0.0023497222	0.008834822	0.5338338	0.45453012
d	0.007601231	0.004158457	0.007316292	0.56321716	0.41770694
i	0.0019561613	0.009814599	0.023693614	0.020607721	0.9439279
m	0.0013350403	0.0054696733	0.012626036	0.07975547	0.9008138
è	0.00073649606	0.0051288116	0.0015509649	0.21453625	0.77804744
n	0.0068447064	0.11017214	0.019038012	0.07011904	0.7938261
i	0.012358879	0.022135751	0.002119699	0.20201418	0.76137143
</S>	0.0009791293	0.005331881	0.00631211	0.05666451	0.93071234
