 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.8821143	0.018211253	0.021042366	0.012651106	0.012141669	0.012436756	0.015961293	0.01235795	0.013083311
j	0.71526885	0.048600383	0.03643047	0.03478262	0.034763068	0.025159905	0.034548804	0.03484611	0.03559985
i	0.7806249	0.020191649	0.03352098	0.030622493	0.03145892	0.0113578355	0.029772284	0.03136234	0.031088647
n	0.65671384	0.09700459	0.039867517	0.035113256	0.03488176	0.031865183	0.03478542	0.03486394	0.034904476
è	0.09505842	0.36604863	0.12203277	0.07346694	0.100022435	0.004739631	0.05299193	0.10151649	0.08412276
k	0.07359695	0.79251254	0.039439805	0.015914213	0.02386501	0.0016006124	0.009271128	0.027359977	0.016439749
a	0.6611888	0.1771963	0.04096392	0.017031735	0.03270599	0.0025655194	0.009235786	0.04069096	0.018421002
p	0.011434935	0.52963984	0.3491366	0.02813839	0.0171011	0.014578816	0.016682856	0.016736528	0.016550956
u	0.019876605	0.06290537	0.47576264	0.09940728	0.08726656	0.01175199	0.07485497	0.08618568	0.08198897
l	0.003264159	0.048029177	0.777327	0.06630395	0.021932404	0.020522675	0.021044798	0.021025997	0.020549966
i	0.0007867872	0.052475996	0.79266775	0.06376416	0.026908062	0.002248458	0.017841225	0.022498144	0.020809423
z	0.0010196953	0.0054041264	0.7096951	0.19011094	0.023249647	0.017563935	0.01779142	0.017665172	0.0175
z	0.00026967147	0.0102824	0.8434648	0.08223602	0.025162937	0.0008308783	0.009010356	0.014159896	0.014583016
è	0.00083722465	0.011407252	0.6915353	0.07813717	0.05519729	0.0033004011	0.028622892	0.05724354	0.07371891
i	0.01204067	0.02562748	0.32310697	0.39003786	0.07471713	0.011076841	0.020188374	0.11339752	0.029807184
o	0.00032666064	0.0006687451	0.15106826	0.64882404	0.13665445	0.011991736	0.016565435	0.017116645	0.016783968
s	0.00020175782	0.00026172475	0.02145957	0.66268045	0.19566838	0.03690191	0.024537465	0.024266053	0.034022707
p	0.00076929893	0.0010271709	0.51433074	0.17139502	0.2807415	0.0016406928	0.007083499	0.010109298	0.012902791
ì	0.00060792133	0.008204128	0.1717635	0.14534175	0.26177388	0.010547951	0.041853458	0.18711609	0.17279132
t	0.0006477537	0.0017988663	0.060867503	0.21027322	0.60913455	0.05039781	0.01219513	0.039612073	0.015073125
i	0.00013744796	0.00024920152	0.014063197	0.2587008	0.638529	0.05031015	0.0056663807	0.024429103	0.007914719
o	0.0005163331	0.00035147165	0.0142838	0.114325166	0.25693917	0.50714815	0.062141754	0.02908896	0.0152052
à	0.0008136003	0.00039034418	0.0039132354	0.088240765	0.20270209	0.31559637	0.19659507	0.0948496	0.09689899
n	0.006243503	0.00044274237	0.0021523172	0.033280686	0.22023092	0.28759664	0.08921642	0.29375193	0.06708488
t	0.0008083551	0.0010312834	0.010817632	0.025661932	0.71960324	0.039530348	0.036473874	0.12247923	0.043594133
r	0.0031803742	0.00042437817	0.0022181987	0.026212184	0.28263277	0.3093695	0.09013427	0.24488659	0.04094175
e	0.0043325108	0.00039409212	0.0018130484	0.0105418535	0.09285921	0.49785668	0.11098709	0.21696247	0.064252995
p	0.0010128345	0.0005649536	0.0031274892	0.007367119	0.048900504	0.090751715	0.5562874	0.118969694	0.17301832
o	0.0022832602	0.0017832163	0.0084433565	0.007896618	0.046270046	0.053536255	0.26853862	0.3673082	0.24394044
d	0.0010730844	0.00021234565	0.0018814623	0.0020951228	0.0056614173	0.04279255	0.714685	0.07373393	0.15786505
è	0.0022180765	0.0005671392	0.0023907893	0.00055780495	0.0108859595	0.0053053508	0.08184179	0.5704625	0.32577065
g	0.0007016883	0.00038475555	0.0009377094	0.0006347556	0.0030393044	0.0067158034	0.24470688	0.39829075	0.3445883
g	0.0006423919	0.0006562256	0.0051065953	0.00054476893	0.007311418	0.0050794804	0.01979906	0.69603324	0.26482677
h	0.0020213714	0.0018578331	0.0039557493	0.011767614	0.13361476	0.026070826	0.08619591	0.4974791	0.23703685
e	0.0023213748	0.0014326256	0.005044333	0.00048661046	0.0039438237	0.0010819554	0.040246926	0.25934044	0.6861019
</S>	0.014153529	0.005852439	0.00786769	0.0012871437	0.0038365421	0.0015969502	0.16328403	0.1982489	0.60387284
