 	deve	essere	bianco	</S>
è	0.8342123	0.08492101	0.06561808	0.015248621
n	0.9021656	0.03460938	0.036894437	0.026330628
a	0.6587377	0.2321424	0.061298106	0.04782175
è	0.19052164	0.7423204	0.033866104	0.033291824
n	0.05095318	0.77223897	0.124125645	0.052682124
e	0.0111486055	0.6252859	0.30781043	0.055755034
à	0.040831205	0.20087336	0.5801362	0.17815922
s	0.0031527812	0.033363525	0.69699234	0.26649135
p	0.00015537853	0.011808786	0.9569373	0.031098535
r	0.0010121732	0.02845481	0.9077093	0.06282364
o	0.0013349042	0.018640183	0.15721327	0.8228116
</S>	0.0024750642	0.010259546	0.15181278	0.8354527
