 	non	ho	cosa	a	fare	</S>
e	0.889243	0.05698159	0.008102987	0.007477454	0.026340734	0.011854232
n	0.41598228	0.40141654	0.10302302	0.027366383	0.02516819	0.027043654
è	0.037440002	0.557729	0.17132166	0.06371644	0.10288475	0.06690812
c	0.0120813325	0.43957064	0.43594643	0.04504459	0.028628029	0.038729068
h	0.0059889173	0.17254557	0.22863021	0.071567334	0.37005454	0.15121345
o	0.003137241	0.28235272	0.60664606	0.050066918	0.026571922	0.03122519
t	0.013730336	0.023482628	0.43382335	0.47217068	0.03137848	0.0254145
i	0.00048470707	0.0047067427	0.13864131	0.6447817	0.14198864	0.069396876
k	0.0064149345	0.013104028	0.10750759	0.69558924	0.0812134	0.096170865
à	5.9609847e-05	0.00046741482	0.002172137	0.106629476	0.7633464	0.12732498
i	0.00014455336	0.005948618	0.021127423	0.12685546	0.8004623	0.045461558
</S>	4.0439787e-05	0.00086788123	0.005410536	0.072401546	0.5404964	0.38078317
