 	non	sono	andati	</S>
e	0.86241674	0.041190073	0.05040005	0.04599318
n	0.76957583	0.14905056	0.04244807	0.038925543
è	0.09284463	0.69353783	0.12937312	0.08424436
c	0.025212932	0.8541678	0.0816385	0.038980797
h	0.0075027766	0.963706	0.015039788	0.013751478
u	0.023958338	0.80970216	0.09840572	0.06793382
n	0.019999698	0.04444932	0.87072885	0.064822175
e	0.0009779386	0.028674448	0.8972162	0.07313136
p	0.013295339	0.014420192	0.866863	0.105421506
a	0.0010381787	0.010358057	0.70398086	0.28462288
m	0.053155806	0.053360786	0.3730138	0.5204696
è	0.0028736286	0.016410908	0.07568395	0.90503156
n	0.0028623538	0.23804612	0.46170947	0.29738212
a	0.004112839	0.015181984	0.16462743	0.81607777
</S>	0.0011916336	0.0055725714	0.13562599	0.8576098
