 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
o	0.6426573	0.27513602	0.008940359	0.0067149517	0.006185749	0.0066787745	0.0066682124	0.0066877995	0.006667599	0.0066483566	0.006650624	0.006681587	0.006987174	0.006695473
à	0.21333614	0.4620062	0.09203682	0.022013567	0.020488841	0.019929225	0.02011005	0.021175103	0.021191966	0.02117304	0.021140898	0.02116013	0.021260489	0.0229775
b	0.056280285	0.011671724	0.77734315	0.016844384	0.035038862	0.00204297	0.002038584	0.013015776	0.014607733	0.012879488	0.0106294695	0.012122906	0.019196875	0.016287787
b	0.06910788	0.029198645	0.53974247	0.013665616	0.11115921	0.005398356	0.006055295	0.02777661	0.033828303	0.025637776	0.020903038	0.02349381	0.05586498	0.038168002
e	0.19454768	0.072305925	0.10767372	0.018968876	0.26664293	0.013079079	0.013387428	0.03721515	0.0448609	0.036706578	0.029013734	0.031507883	0.081887655	0.05220244
t	0.0869041	0.16208088	0.5005028	0.039958086	0.028651878	0.021504449	0.01997711	0.020065743	0.020066718	0.020055545	0.02004741	0.020049473	0.020064713	0.02007099
o	0.027973166	0.012020852	0.75937474	0.025084587	0.03422022	0.003179702	0.0033990694	0.018662529	0.01999139	0.018508371	0.016424412	0.01725134	0.022997813	0.020911768
à	0.03212206	0.0659468	0.3723164	0.25791728	0.08218334	0.035881776	0.020328816	0.019108785	0.019082218	0.019022595	0.019008622	0.019003915	0.019011822	0.019065497
t	0.011281219	0.007454784	0.2985475	0.28364635	0.27228144	0.0090118805	0.003011138	0.015567433	0.017042005	0.015269702	0.012961641	0.014576532	0.021032555	0.018315885
t	0.00092294987	0.0033968536	0.31134376	0.1789432	0.36594996	0.006581874	0.0034645263	0.016399026	0.019784883	0.013826571	0.012426529	0.01474568	0.03082854	0.02138567
o	0.009296788	0.018748498	0.3631096	0.053751405	0.21072288	0.010616152	0.009247704	0.039267395	0.047613606	0.038634453	0.029499367	0.032799963	0.080293775	0.05639841
k	0.00090767693	0.006065702	0.011465172	0.53340983	0.073639564	0.17708692	0.029312363	0.023863168	0.023811126	0.023313878	0.023073109	0.023091221	0.023524288	0.027435983
o	0.00057482184	0.0010157807	0.011351953	0.37041017	0.19241299	0.056092575	0.012510902	0.049777336	0.05350486	0.047269437	0.04276021	0.045437247	0.061531328	0.055350322
r	0.00064069306	0.009002367	0.008470621	0.20155258	0.0681891	0.42876655	0.125215	0.026160814	0.024484586	0.02130686	0.020819712	0.020495296	0.020446071	0.02444969
à	0.00014415932	0.000375578	0.005044149	0.35024205	0.07741286	0.24544305	0.053906612	0.042927586	0.04349597	0.03141043	0.030947272	0.03520722	0.043429572	0.040013507
