 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.26144317	0.12882088	0.122882634	0.11856388	0.1192064	0.12806824	0.12101477
c	0.8968626	0.020491969	0.005486362	0.010541343	0.020119388	0.025590032	0.020908432
h	0.82075536	0.02662295	0.010041064	0.017751796	0.03589377	0.05082946	0.038105637
a	0.86219674	0.03203398	0.011909105	0.018736657	0.024308125	0.026135277	0.02468005
n	0.6311257	0.2941381	0.019075172	0.014282265	0.013809222	0.013790386	0.01377917
a	0.46276343	0.25625622	0.053697854	0.055020563	0.05708533	0.05801191	0.057164695
a	0.1463631	0.73084605	0.042677578	0.021499502	0.019620126	0.01951272	0.019480888
g	0.004443724	0.78438413	0.12137258	0.02715331	0.020742048	0.020546101	0.021358153
o	0.0059076073	0.6318116	0.15544976	0.057189774	0.05018814	0.050560728	0.04889231
r	0.03623694	0.32102785	0.411119	0.091446795	0.048179537	0.0460616	0.045928318
à	0.0027585318	0.31277034	0.39453882	0.09759594	0.062709436	0.07300595	0.056620937
s	0.038765244	0.13760735	0.37267464	0.20101525	0.0949219	0.11346844	0.041547213
o	0.0016405345	0.35039297	0.39495277	0.13764124	0.038247995	0.047559038	0.029565457
o	0.00052099937	0.024807978	0.52346516	0.3626448	0.052149076	0.021024453	0.0153874885
s	0.00046076978	0.0031374758	0.31295335	0.49766156	0.09444556	0.03867428	0.05266694
s	0.00032100777	0.0015647624	0.23974603	0.62668	0.071708165	0.034752883	0.025227094
o	0.0018454354	0.02432152	0.22233404	0.4553976	0.109332405	0.09039725	0.09637169
m	0.0013435703	0.0050270017	0.08463451	0.29587063	0.26844263	0.10840922	0.23627244
ì	0.001914862	0.0004439637	0.007089451	0.05175475	0.14952204	0.62232375	0.16695113
k	0.001453633	0.0121737085	0.07170014	0.07874821	0.5610485	0.22926518	0.045610633
a	0.0016704255	0.0008466472	0.026527654	0.1445251	0.3485964	0.41396973	0.06386408
m	0.0005022776	0.0032639643	0.059814595	0.10276238	0.38755196	0.25890103	0.18720375
è	0.005899812	0.00068051636	0.0012110708	0.005967083	0.088439	0.6146866	0.2831159
r	0.0004811325	0.0015386215	0.01615489	0.024899492	0.15792905	0.7014963	0.09750053
i	0.0002654752	4.8998172e-05	0.0006559717	0.0038079424	0.07080684	0.8650042	0.059410576
</S>	0.000277144	0.00034262295	0.0007196305	0.0020669962	0.01662958	0.41663572	0.5633283
