 	lo	sentii	che	arrivò	</S>
t	0.8366481	0.020535877	0.020367183	0.09764924	0.02479964
o	0.9075932	0.021870779	0.02214841	0.024044812	0.024342755
n	0.14158833	0.7546891	0.042251848	0.031261325	0.030209284
ì	0.079153195	0.024524953	0.1498107	0.2571985	0.48931262
k	0.04281798	0.32973048	0.23807172	0.26940978	0.119970046
u	0.2003804	0.046984386	0.22774307	0.28489956	0.23999254
s	0.028899238	0.16335775	0.7596608	0.03364528	0.014436984
a	0.0030623742	0.008188685	0.8355531	0.0901616	0.06303428
k	0.005965382	0.113920555	0.7204369	0.13284957	0.026827598
a	0.0018794232	0.0020762638	0.3534381	0.3484974	0.2941088
ì	0.009702445	0.048995424	0.08501415	0.7841997	0.07208819
r	0.000118769734	0.00020358278	0.0030072324	0.9816487	0.015021773
t	5.644287e-05	7.5347176e-05	0.0006667158	0.9281404	0.07106111
e	0.003511428	0.0010786621	0.025547234	0.8520678	0.117794804
</S>	0.001838851	0.0003500106	0.003979467	0.11620471	0.877627
