 	vuole	pianto	</S>
e	0.63347405	0.2827083	0.0838176
t	0.77761215	0.17528874	0.047099072
è	0.8572456	0.104531534	0.038222793
l	0.73727775	0.08862406	0.17409824
i	0.6387381	0.2784186	0.08284332
k	0.06563013	0.880192	0.054177985
l	0.014127835	0.85248244	0.13338974
a	0.12014605	0.5293973	0.35045666
m	0.028209843	0.13568103	0.8361091
m	0.00063185295	0.15435715	0.84501094
è	0.061480418	0.32036868	0.6181509
n	0.075352654	0.5607541	0.3638932
o	0.014804544	0.34963232	0.63556314
</S>	0.016031295	0.11560895	0.86835974
