 	non	aveva	cosa	a	fare	</S>
e	0.8967828	0.06316553	0.005571018	0.0049338317	0.021286182	0.00826055
n	0.61843127	0.23447944	0.053172886	0.031460524	0.029636633	0.032819234
ì	0.054670785	0.52362716	0.11089042	0.08417613	0.12860368	0.09803185
c	0.010935988	0.7796087	0.14363685	0.021983322	0.017505856	0.026329335
h	0.009556949	0.12131223	0.13167799	0.06977364	0.43685484	0.23082435
e	0.003976522	0.50641245	0.36608896	0.046470672	0.03429079	0.042760663
t	0.009393861	0.061526958	0.68023634	0.21350421	0.017321883	0.018016646
i	0.00020541642	0.0048108934	0.5024783	0.31164092	0.10957744	0.07128701
k	0.0036317292	0.016313395	0.28413796	0.5881539	0.039476044	0.06828698
à	6.660263e-05	0.0011616863	0.009848719	0.11614062	0.64589393	0.22688845
m	0.00020349046	0.013553859	0.055277426	0.29402748	0.5566705	0.08026726
i	0.00039287226	0.0010979245	0.01335027	0.23571518	0.58488613	0.16455764
</S>	0.002297786	0.038640674	0.08474398	0.11408457	0.35209006	0.40814292
