 	possono	essere	ancora	svegli	</S>
i	0.7404641	0.084537104	0.053237114	0.06290062	0.058861107
s	0.81159544	0.06150859	0.051635038	0.020080997	0.055179916
ò	0.9066985	0.032828894	0.019791074	0.0003391563	0.040342297
z	0.9157825	0.052156802	0.004616793	0.002118443	0.025325445
o	0.9068997	0.080244094	0.0039938097	0.0007290887	0.00813333
n	0.4580119	0.38093898	0.06611825	0.040222134	0.054708775
e	0.14007278	0.64585	0.05687872	0.003507155	0.15369132
ì	0.0063181515	0.84668094	0.08635809	0.021595618	0.0390471
n	0.004954244	0.97141176	0.010994501	0.0020103736	0.01062905
e	0.026191246	0.96077037	0.0058203405	0.00019331266	0.0070247995
a	0.0019922843	0.24296553	0.6859204	0.019999499	0.04912226
n	0.0015747063	0.029156849	0.89815974	0.009135791	0.06197287
k	0.004607139	0.027980268	0.93530744	0.0003289197	0.031776167
ò	0.018626181	0.08898962	0.5136659	0.0049266163	0.37379164
r	0.04200727	0.4124078	0.32881522	0.15627669	0.06049298
a	0.003388605	0.017900134	0.9671797	0.002967166	0.008564358
a	0.0039871563	0.073627934	0.5388301	0.15686518	0.22668973
t	0.003231122	0.005545955	0.059296843	0.18850993	0.74341613
s	0.04182897	0.026633976	0.08571096	0.15921988	0.6866062
ù	0.060300846	0.025028216	0.048850473	0.043902516	0.82191795
n	0.023949878	0.0295258	0.07630801	0.6808329	0.18938343
n	0.003674993	0.0024625675	0.026264124	0.7550387	0.21255971
i	0.04776978	0.019419787	0.097209655	0.32220024	0.51340055
t	0.1382931	0.30006766	0.007781702	0.22404253	0.32981497
i	0.015761405	0.0030798572	0.0015758374	0.7774051	0.20217781
</S>	0.0057193157	0.0049273097	0.0024665643	0.053082265	0.9338045
