 	sono	stato	sempre	poveretti	</S>
ì	0.9335755	0.012974434	0.02528497	0.019056207	0.009108905
m	0.87358385	0.07599326	0.023752624	0.012408471	0.014261761
e	0.7164246	0.025129244	0.13312767	0.054076537	0.07124197
s	0.15857628	0.75134254	0.033936057	0.028063029	0.028082084
t	0.1777128	0.6792655	0.05567835	0.0429951	0.044348374
a	0.12844649	0.6218085	0.10826823	0.065716214	0.07576057
m	0.021771727	0.78918797	0.09930487	0.043988153	0.045747332
m	0.011343456	0.3133615	0.3449342	0.12680908	0.20355181
è	0.059129935	0.15474638	0.22269651	0.21241419	0.35101297
n	0.09887278	0.32270944	0.4754442	0.04982624	0.053147368
a	0.011836679	0.56409943	0.3882237	0.019067785	0.016772434
p	0.0028807712	0.081065424	0.7958576	0.092100784	0.028095493
à	0.0056333207	0.0028540043	0.5514964	0.2446106	0.19540565
n	0.0113089215	0.053078424	0.74085844	0.16893515	0.025819082
t	0.005197133	0.010809048	0.6520705	0.29541495	0.03650834
a	0.022921652	0.011678222	0.6525515	0.2202136	0.09263509
t	0.0045545404	0.0076735714	0.05385018	0.41966876	0.51425296
e	0.0033676191	0.00044788638	0.029255355	0.29319322	0.67373586
c	0.0016644932	0.0011236598	0.013633365	0.2681134	0.7154651
h	0.001304128	0.0003534809	0.0022201806	0.05473226	0.9413899
ù	0.0010373881	0.0001664836	0.014241608	0.2181772	0.7663773
d	0.00034585965	0.0003128504	0.028999511	0.1818178	0.788524
d	0.0037351195	0.00047571023	0.008820042	0.0761319	0.91083723
h	0.00916499	0.0016207851	0.0385524	0.23286587	0.7177959
i	0.007843304	0.00447647	0.047469363	0.13216877	0.80804205
</S>	0.070447795	0.005626995	0.08558196	0.3632258	0.47511744
