 	sto	ancora	cucinando	</S>
s	0.8135776	0.041499197	0.0817255	0.063197635
t	0.70389277	0.19298448	0.04814712	0.054975655
e	0.8227836	0.07048457	0.02724872	0.07948313
a	0.3962103	0.55783844	0.022223167	0.023728127
n	0.15909283	0.80106664	0.01896758	0.020872926
k	0.0987781	0.85073614	0.014448334	0.036037304
ò	0.22742593	0.7217003	0.018414289	0.03245939
r	0.34001613	0.35340172	0.196933	0.10964912
a	0.11450558	0.8757226	0.006492899	0.0032789195
m	0.14247978	0.3166662	0.4553499	0.08550412
a	0.08736125	0.51683223	0.20981483	0.1859917
r	0.016477894	0.07102982	0.8229757	0.089516565
è	0.0069584735	0.044265058	0.7959979	0.15277854
o	0.025893956	0.01789188	0.8543126	0.10190157
n	0.0028274055	0.0015542828	0.4919574	0.5036609
t	0.0035152328	0.0016116941	0.61644363	0.37842944
a	0.19298832	0.0509958	0.47552052	0.28049538
</S>	0.0070325937	0.0040834597	0.113945104	0.8749388
