 	il	morto	si	piange	</S>
o	0.9346176	0.024114894	0.016312653	0.013168912	0.011785886
a	0.33653846	0.5819932	0.021572953	0.027867254	0.032028046
p	0.25059584	0.48924446	0.05973396	0.090392195	0.11003352
e	0.13793021	0.5543923	0.0076441327	0.23040263	0.069630764
t	0.24172722	0.52036905	0.084444605	0.074795	0.07866408
a	0.08869108	0.47838956	0.010086015	0.32146025	0.101373136
m	0.19940676	0.2992225	0.22557387	0.12323375	0.15256312
m	0.008090428	0.036623582	0.0075208726	0.91155624	0.03620892
è	0.08882236	0.069315985	0.01979186	0.37746644	0.44460335
n	0.3615424	0.08075183	0.057887323	0.33859494	0.16122349
o	0.37184104	0.24120569	0.08046968	0.21677479	0.08970878
i	0.030487193	0.049867123	0.8477522	0.035633482	0.0362601
k	0.0013286008	0.008330176	0.6730951	0.1053465	0.21189961
l	0.00021184362	0.0035274473	0.28606445	0.60302556	0.107170746
è	0.0063989894	0.029361196	0.1327275	0.40274826	0.42876408
e	0.0054397145	0.011966681	0.022540174	0.91000175	0.05005167
t	0.00068675913	0.0014103496	0.022675226	0.15247001	0.8227576
e	5.1992873e-05	3.3554526e-05	0.0021230283	0.9218749	0.07591654
</S>	0.0017407985	0.002574222	0.06812917	0.06957261	0.8579832
