 	non	deve	magniare	la	sera	</S>
e	0.877588	0.0635413	0.014657353	0.010895905	0.02222167	0.01109582
n	0.49539864	0.36656225	0.03944985	0.033417936	0.032220677	0.03295062
è	0.08212126	0.52671516	0.11792905	0.09531042	0.08382272	0.09410139
n	0.013492127	0.78489953	0.15187779	0.019114703	0.0064144554	0.024201421
a	0.0040530213	0.55918735	0.34481668	0.03771537	0.01225767	0.04196991
f	0.048719715	0.1663187	0.6124668	0.105981104	0.0347896	0.031724118
à	0.0019639798	0.009595216	0.63447434	0.21828592	0.06681411	0.068866394
i	0.0041846368	0.16931441	0.55575514	0.19079249	0.023721235	0.056232132
t	0.001115903	0.0019495244	0.11478837	0.7139696	0.12219752	0.045979068
o	0.00027556616	0.00062704453	0.022089794	0.8448017	0.08895788	0.04324807
v	0.0026624475	0.0024970982	0.025382433	0.31381872	0.5395078	0.11613154
r	0.0002645475	0.00065257825	0.004570359	0.30063418	0.52639014	0.16748825
à	0.00028503974	0.0041452795	0.012375722	0.26827997	0.59625345	0.11866055
i	0.0003254621	0.0017941006	0.055420924	0.07708037	0.80393827	0.061440818
</S>	4.649252e-05	0.0009692836	0.0017266071	0.016886096	0.4140369	0.56633466
