 	è	che	sono	usciti	</S>
è	0.6400885	0.0938726	0.13022363	0.08213545	0.053679798
n	0.43137664	0.42897132	0.098621525	0.0073132324	0.033717237
a	0.053327747	0.7341127	0.16270994	0.0012903247	0.04855931
g	0.043043155	0.6145565	0.25582284	0.05132539	0.035252184
u	0.0030380236	0.19177225	0.7174493	0.0075464034	0.08019394
ì	0.031798743	0.088176236	0.46104866	0.36494187	0.054034565
k	0.013411531	0.022639548	0.80029404	0.078248195	0.08540665
a	0.003942091	0.008069784	0.6794442	0.14319335	0.16535057
n	0.0029075888	0.0060898066	0.024610698	0.58777076	0.3786211
e	0.0010365117	0.00085530005	0.007899927	0.46601582	0.52419245
</S>	0.0014559189	0.0019174193	0.015033178	0.10912242	0.8724711
