 	io	non	ho	cosa	da	mangiare	</S>
e	0.8862335	0.042600814	0.014178045	0.007654217	0.007051583	0.028766021	0.01351576
v	0.47202578	0.28020346	0.068261296	0.046955433	0.043459203	0.043577824	0.045516986
ò	0.11781815	0.013633117	0.22182001	0.1464413	0.16655031	0.16883127	0.16490577
e	0.42843315	0.13535002	0.29845196	0.028604494	0.03926905	0.038346782	0.031544592
n	0.0332707	0.4073235	0.40986866	0.10182507	0.017129736	0.01536352	0.015218765
è	0.02329715	0.030562988	0.60401034	0.18002997	0.045905646	0.075283706	0.040910155
c	0.0056528123	0.020258483	0.6747557	0.19813658	0.049428023	0.037117057	0.014651419
h	0.009367461	0.011463396	0.39052773	0.28173947	0.12771127	0.12542187	0.05376873
o	0.0010471373	0.0051335427	0.39646545	0.4510559	0.07794812	0.03874773	0.029602008
t	0.00243037	0.023420498	0.01840415	0.4084753	0.44212326	0.061890222	0.043256193
i	0.0003756067	0.00060997985	0.005050693	0.36417854	0.49798593	0.07988041	0.051918846
è	0.000845115	0.00794404	0.014034088	0.11019799	0.5234703	0.22029153	0.123216964
n	5.5192377e-05	3.6319245e-05	0.001996713	0.010396213	0.5384695	0.39639586	0.0526502
a	0.00055760646	0.00020418107	0.0003341132	0.0035542583	0.37641874	0.6038273	0.015103833
f	0.00020899474	0.0007453042	0.0018536756	0.008640772	0.07304221	0.6136921	0.30181694
à	0.00036703475	7.893899e-05	0.00018422678	0.00075455935	0.015319329	0.8166716	0.16662437
o	0.00019065668	6.933852e-05	0.0013568336	0.0035021745	0.030980263	0.7358979	0.22800288
</S>	0.0003082112	1.7762573e-05	0.0002611623	0.0008371308	0.010417383	0.25320172	0.7349567
